,Unnamed: 0,path,name,longitude,latitude,deposit_type
27,111,mrdata_json/mrds/10000432.json,Peterson,-149.28643,59.96452,Mafic-ultramafic VMS
28,112,mrdata_json/mrds/10000434.json,Seattle Alaska Copper Co.,-147.99139,59.96454,Mafic-ultramafic VMS
29,113,mrdata_json/mrds/10000435.json,Whale,-148.01557,59.97843,Mafic-siliciclastic VMS
30,114,mrdata_json/mrds/10000436.json,Unnamed (near Cape Resurrection),-149.28059,59.88063,Mafic-ultramafic VMS
31,116,mrdata_json/mrds/10000467.json,Unnamed (on Red Mountain),-151.49254,59.34946,Ophiolite chromium
32,117,mrdata_json/mrds/10000468.json,Reef,-151.82253,59.20946,Ophiolite chromium
33,118,mrdata_json/mrds/10000469.json,Mills & Trimble,-151.56253,59.25946,Mesozonal orogenic gold
34,119,mrdata_json/mrds/10000470.json,Unnamed (onTwo Arm Bay),-150.13253,59.6895,Mesozonal orogenic gold
35,120,mrdata_json/mrds/10000471.json,Rock,-151.64864,59.22057,Mesozonal orogenic gold
36,121,mrdata_json/mrds/10000472.json,Unnamed (in Port Dick),-151.35947,59.31253,Mesozonal orogenic gold
37,122,mrdata_json/mrds/10000473.json,Nixon Fork - Crystal,-154.77684,63.23837,Skarn copper
38,124,mrdata_json/mrds/10000487.json,Claim Point,-151.82253,59.20946,Ophiolite chromium
39,126,mrdata_json/mrds/10000522.json,Casadepaga River,-164.30523,64.86737,Fluvial placer gold
40,129,mrdata_json/mrds/10000534.json,Carl Creek,-155.91293,62.80945,Fluvial placer gold
41,130,mrdata_json/mrds/10000535.json,Valdez Creek area,-147.47582,63.17462,Fluvial placer gold
42,133,mrdata_json/mrds/10000555.json,Little Creek composite placer,-165.40577,64.54317,Fluvial placer gold
43,135,mrdata_json/mrds/10000562.json,Emery Creek,-149.62333,67.54971,Fluvial placer gold
44,136,mrdata_json/mrds/10000564.json,Garnet Creek,-149.39333,67.55971,Fluvial placer gold
45,141,mrdata_json/mrds/10000584.json,Gold Creek,-149.82333,67.5097,Fluvial placer gold
46,142,mrdata_json/mrds/10000585.json,Linda Creek,-149.82333,67.5197,Fluvial placer gold
47,143,mrdata_json/mrds/10000675.json,Accident,-147.28026,63.18963,Mesozonal orogenic gold
48,144,mrdata_json/mrds/10000676.json,Banner,-149.62283,63.23152,Vein polymetallic
49,145,mrdata_json/mrds/10000677.json,Black Creek,-147.23276,63.17963,Mesozonal orogenic gold
50,146,mrdata_json/mrds/10000680.json,Chute Creek,-147.74285,63.93964,Porphyry gold ± copper
51,147,mrdata_json/mrds/10000681.json,Copper King,-149.65782,63.19569,Skarn copper
52,148,mrdata_json/mrds/10000682.json,Snoopy,-149.47283,63.25959,Porphyry gold ± copper
53,149,mrdata_json/mrds/10000683.json,Denali Copper,-147.14386,63.13852,Volcanic-hosted copper
54,150,mrdata_json/mrds/10000684.json,East Vein,-149.64589,63.21569,Vein polymetallic
55,151,mrdata_json/mrds/10000685.json,Unnamed (northeast wall of Eldridge Glacier),-149.99281,63.00957,Mafic-ultramafic VMS
56,152,mrdata_json/mrds/10000689.json,Liberty,-149.54089,63.26265,Mesozonal orogenic gold
57,153,mrdata_json/mrds/10000690.json,Little Vein,-149.64977,63.21264,Vein polymetallic
58,154,mrdata_json/mrds/10000691.json,Long Creek,-149.67282,63.17958,Vein polymetallic
59,155,mrdata_json/mrds/10000692.json,Lookout Mountain,-149.57282,63.22152,Vein polymetallic
60,156,mrdata_json/mrds/10000693.json,Lucrata,-149.53172,63.26459,Vein polymetallic
61,157,mrdata_json/mrds/10000694.json,Mayflower,-149.64589,63.21569,Skarn copper
62,158,mrdata_json/mrds/10000695.json,McCall,-149.74287,63.68959,Vein polymetallic
63,159,mrdata_json/mrds/10000696.json,Nimbus,-149.48394,63.28459,Vein polymetallic
64,160,mrdata_json/mrds/10000698.json,Unnamed (head of Ohio Creek),-149.93283,63.18958,Greisen tin ± W-Mo
65,161,mrdata_json/mrds/10000699.json,Unnamed (northeast of upper Partin Creek),-149.96171,63.06568,Skarn copper
66,162,mrdata_json/mrds/10000700.json,Riverside,-149.61283,63.23958,Vein polymetallic
67,163,mrdata_json/mrds/10000702.json,Timberline,-147.40387,63.18769,Vein polymetallic
68,164,mrdata_json/mrds/10000703.json,Yellowhorn,-147.29082,63.19657,Mesozonal orogenic gold
69,165,mrdata_json/mrds/10000704.json,Unnamed (on Colorado Creek),-149.56283,63.24959,Fluvial placer gold
70,166,mrdata_json/mrds/10000705.json,Unnamed (on Dry Creek),-147.29284,63.95965,Fluvial placer gold
71,167,mrdata_json/mrds/10000706.json,Fox Creek,-148.57287,63.95962,Fluvial placer gold
72,168,mrdata_json/mrds/10000707.json,French Gulch,-148.77287,63.86962,Fluvial placer gold
73,169,mrdata_json/mrds/10000708.json,Gagnon Creek,-148.73287,63.88962,Fluvial placer gold
74,170,mrdata_json/mrds/10000709.json,Gold Creek,-147.81277,63.09962,Fluvial placer gold
75,171,mrdata_json/mrds/10000710.json,Lucky Gulch,-147.27665,63.19852,Fluvial placer gold
76,172,mrdata_json/mrds/10000711.json,Marguerite Creek,-148.64287,63.92962,Fluvial placer gold
77,173,mrdata_json/mrds/10000712.json,Unnamed (middle or upper Newman Creek),-147.26283,63.94965,Fluvial placer gold
78,174,mrdata_json/mrds/10000713.json,Popovich Creek,-148.83287,63.91962,Fluvial placer gold
79,175,mrdata_json/mrds/10000714.json,Portage Creek,-147.14283,63.90965,Fluvial placer gold
80,176,mrdata_json/mrds/10000715.json,Shotgun Creek,-149.80281,63.04958,Fluvial placer gold
81,177,mrdata_json/mrds/10000716.json,Wickersham Creek,-147.69276,63.10962,Fluvial placer gold
82,178,mrdata_json/mrds/10000717.json,Valdez Creek,-147.46276,63.17963,Fluvial placer gold
83,179,mrdata_json/mrds/10000718.json,Lower White Creek,-147.32276,63.19963,Fluvial placer gold
84,180,mrdata_json/mrds/10000724.json,Unnamed (in headwaters of Wood River),-147.66088,63.68574,Mafic-siliciclastic VMS
85,181,mrdata_json/mrds/10000726.json,Unnamed,-147.42281,63.69964,Mafic-siliciclastic VMS
86,182,mrdata_json/mrds/10000727.json,"Gold Hill, Su",-147.7397,63.09962,Porphyry gold ± copper
87,183,mrdata_json/mrds/10000728.json,Wickersham,-147.7047,63.10962,Porphyry gold ± copper
88,184,mrdata_json/mrds/10000730.json,Unnamed (east of lower Slime Creek),-148.79172,63.50767,Mafic-ultramafic VMS
89,185,mrdata_json/mrds/10000731.json,Unnamed (northeast of upper Shotgun Creek),-149.86282,63.06958,Ophiolite chromium
90,186,mrdata_json/mrds/10000732.json,Silver Kitty,-149.78893,63.16347,Skarn copper
91,187,mrdata_json/mrds/10000733.json,Unnamed (divide between Christy and Copeland creeks),-149.75282,63.12958,Ophiolite chromium
92,188,mrdata_json/mrds/10000734.json,Unnamed (south of upper Long Creek),-149.69282,63.17958,Ophiolite chromium
93,189,mrdata_json/mrds/10000735.json,Unnamed (upper Blind Creek area),-149.69477,63.21152,Vein polymetallic
94,190,mrdata_json/mrds/10000736.json,Unnamed (south of upper Windy Creek),-149.14284,63.4596,Skarn copper
95,197,mrdata_json/mrds/10000883.json,Unnamed (near Lacuna Glacier),-151.48672,62.83565,Ophiolite chromium
96,198,mrdata_json/mrds/10000884.json,Unnamed (near Lacuna Glacier),-151.51783,62.78454,Ophiolite chromium
97,199,mrdata_json/mrds/10000885.json,Unnamed,-151.82283,62.69147,Ophiolite chromium
98,200,mrdata_json/mrds/10000886.json,Unnamed,-151.82783,62.71147,Ophiolite chromium
99,202,mrdata_json/mrds/10000889.json,Unnamed,-152.41477,62.53451,Skarn copper
100,203,mrdata_json/mrds/10000890.json,Curry,-150.02889,62.59845,Low-fluorine porphyry molybdenum
101,204,mrdata_json/mrds/10000891.json,Mount Goldie,-150.84281,62.72955,Mesozonal orogenic gold
102,205,mrdata_json/mrds/10000892.json,Unnamed,-150.9517,62.69148,Fluvial placer gold
103,206,mrdata_json/mrds/10000893.json,Hidden Creek,-151.15392,62.6576,Vein tin
104,210,mrdata_json/mrds/10000899.json,Bradley Scheelite,-150.95669,62.58148,Mesozonal orogenic gold
105,211,mrdata_json/mrds/10000900.json,Colby,-150.96669,62.5726,Mesozonal orogenic gold
106,212,mrdata_json/mrds/10000901.json,Upper Nugget Creek,-150.98474,62.56065,Mesozonal orogenic gold
107,213,mrdata_json/mrds/10000902.json,Boedeker,-150.09975,62.93263,Mesozonal orogenic gold
108,214,mrdata_json/mrds/10000903.json,Shellabarger Pass,-152.78978,62.55256,Mafic-siliciclastic VMS
109,215,mrdata_json/mrds/10000904.json,Jiles-Knudson,-152.15397,62.90147,Skarn tin ± copper ± Mo
110,216,mrdata_json/mrds/10000905.json,Unnamed,-151.86672,62.70842,Ophiolite chromium
111,217,mrdata_json/mrds/10000906.json,Hogback,-152.22897,62.88563,Vein tin
112,218,mrdata_json/mrds/10000907.json,Unnamed,-151.82894,62.74453,Low-fluorine porphyry molybdenum
113,219,mrdata_json/mrds/10000908.json,Unnamed,-152.19976,62.55341,Skarn copper
114,220,mrdata_json/mrds/10000909.json,Unnamed,-152.37088,62.52145,Fluvial placer gold
115,222,mrdata_json/mrds/10000911.json,Unnamed,-152.72285,62.73951,Sediment-hosted copper ± Co
116,223,mrdata_json/mrds/10000912.json,First Creek,-151.0128,62.59843,Fluvial placer gold
117,225,mrdata_json/mrds/10000915.json,Gold Creek,-150.91085,62.5176,Fluvial placer gold
118,228,mrdata_json/mrds/10000919.json,Dollar  Creek,-151.05779,62.5076,Fluvial placer gold
119,321,mrdata_json/mrds/10001142.json,Unnamed (northeast of Hogan Hill),-145.45266,62.67965,Porphyry copper ± gold
120,322,mrdata_json/mrds/10001143.json,Unnamed (on Hogan Hill),-145.48155,62.66159,Vein polymetallic
121,323,mrdata_json/mrds/10001144.json,Tom Burns,-144.30264,62.85662,Vein polymetallic
122,324,mrdata_json/mrds/10001145.json,Indian,-144.22264,62.81968,Porphyry copper ± gold
123,325,mrdata_json/mrds/10001146.json,Elizabeth,-144.17263,62.79968,Low-fluorine porphyry molybdenum
124,326,mrdata_json/mrds/10001147.json,Neversweat,-144.10263,62.81968,Vein polymetallic
125,327,mrdata_json/mrds/10001148.json,Silver Creek,-144.05762,62.73274,Vein polymetallic
126,328,mrdata_json/mrds/10001149.json,Silver Shield,-144.03374,62.75079,Vein polymetallic
127,329,mrdata_json/mrds/10001150.json,Unnamed (southwest of Hill 4410),-144.04263,62.75968,Vein polymetallic
128,330,mrdata_json/mrds/10001151.json,Grubstake Creek,-144.05152,62.78468,Fluvial placer gold
129,331,mrdata_json/mrds/10001152.json,Slope Creek,-144.00262,62.79079,Fluvial placer gold
130,332,mrdata_json/mrds/10001153.json,Unnamed (south of Flat Creek),-144.13263,62.72968,Porphyry copper-molybdenum
131,333,mrdata_json/mrds/10001154.json,Kaluich Creek,-158.37357,67.63952,Siliciclastic-carbonate zinc-lead
132,334,mrdata_json/mrds/10001155.json,Natmotirak Creek,-158.89359,67.68951,Siliciclastic-carbonate zinc-lead
133,335,mrdata_json/mrds/10001158.json,Kalvich Area,-158.20356,67.55952,Skarn zinc-lead-silver
134,353,mrdata_json/mrds/10001190.json,Unnamed,-156.18351,67.58957,Kipushi-type sediment-hosted copper-zinc-lead
135,354,mrdata_json/mrds/10001192.json,Midas Creek,-156.22356,67.84958,Fluvial placer gold
136,355,mrdata_json/mrds/10001193.json,"Ningyoyak Creek, EXP Prospect",-156.31356,67.87958,Replacement polymetallic
137,356,mrdata_json/mrds/10001194.json,Unnamed,-156.81357,67.83956,Replacement polymetallic
138,357,mrdata_json/mrds/10001195.json,Imelyak River,-157.22355,67.63955,Replacement polymetallic
139,358,mrdata_json/mrds/10001196.json,Kav,-156.76356,67.80956,Kipushi-type sediment-hosted copper-zinc-lead
140,359,mrdata_json/mrds/10001197.json,Unnamed,-157.22354,67.61955,Replacement polymetallic
141,360,mrdata_json/mrds/10001199.json,Tunukuchiak Creek,-156.50354,67.69957,Fluvial placer gold
142,367,mrdata_json/mrds/10001212.json,Lucky Six Creek,-154.88348,67.5796,Fluvial placer gold
143,368,mrdata_json/mrds/10001213.json,Unnamed (north of Noatak River),-155.01348,67.54959,Skarn tin ± copper ± Mo
144,369,mrdata_json/mrds/10001214.json,Unnamed (Tupik Creek area),-155.08348,67.50959,Skarn tin ± copper ± Mo
145,371,mrdata_json/mrds/10001217.json,Nigikpalvgururvrak Creek,-155.89436,67.71514,Fluvial placer gold
146,378,mrdata_json/mrds/10001389.json,Bibban,-148.73335,67.87974,Skarn zinc-lead-silver
147,379,mrdata_json/mrds/10001391.json,Big Jim Creek,-149.05331,67.52972,Fluvial placer gold
148,380,mrdata_json/mrds/10001392.json,Bob,-148.68335,67.87974,Skarn zinc-lead-silver
149,381,mrdata_json/mrds/10001393.json,Unnamed (east end of Reds Lake),-148.57334,67.83974,Vein polymetallic
150,382,mrdata_json/mrds/10001394.json,Last Chance Creek,-149.47332,67.51971,Fluvial placer gold
151,383,mrdata_json/mrds/10001395.json,Eightmile Creek,-149.38333,67.56971,Fluvial placer gold
152,384,mrdata_json/mrds/10001397.json,Geroe Creek,-148.81333,67.67973,Porphyry copper-molybdenum
153,385,mrdata_json/mrds/10001398.json,Ginger,-149.28334,67.70972,Skarn copper
154,386,mrdata_json/mrds/10001399.json,Hurricane-Diane,-149.16335,67.73972,Skarn copper
155,387,mrdata_json/mrds/10001401.json,Magnet Creek,-149.73333,67.5097,Fluvial placer gold
156,388,mrdata_json/mrds/10001402.json,Mathews River,-149.50334,67.65971,Mesozonal orogenic gold
157,389,mrdata_json/mrds/10001403.json,Mowgli,-148.81335,67.81973,Skarn zinc-lead-silver
158,390,mrdata_json/mrds/10001404.json,Quartz Creek,-149.16336,67.80972,Vein polymetallic
159,391,mrdata_json/mrds/10001405.json,Robert Creek,-149.19333,67.63972,Fluvial placer gold
160,392,mrdata_json/mrds/10001407.json,Spruce Creek,-149.30333,67.58971,Fluvial placer gold
161,393,mrdata_json/mrds/10001408.json,Steph,-148.81335,67.85973,Vein polymetallic
162,394,mrdata_json/mrds/10001411.json,Unnamed (north-northwest of Reds Lake),-148.69335,67.90974,Vein polymetallic
163,395,mrdata_json/mrds/10001412.json,Unnamed  (near head of Thru Creek),-148.59335,67.89974,Vein polymetallic
164,396,mrdata_json/mrds/10001413.json,Unnamed (north of Reds Lake),-148.57336,67.93974,Vein polymetallic
165,397,mrdata_json/mrds/10001417.json,Unnamed,-148.0447,62.99155,Vein polymetallic
166,398,mrdata_json/mrds/10001418.json,Unnamed,-149.31972,62.85764,Porphyry copper-molybdenum
167,400,mrdata_json/mrds/10001420.json,Grizzly Bear,-147.88387,62.9885,Vein polymetallic
168,401,mrdata_json/mrds/10001421.json,Unnamed,-148.71967,62.50458,Mesozonal orogenic gold
169,402,mrdata_json/mrds/10001424.json,August Claims 1-8,-147.93275,62.84961,Vein polymetallic
170,403,mrdata_json/mrds/10001425.json,Unnamed,-147.84163,62.77767,Mesozonal orogenic gold
171,404,mrdata_json/mrds/10001426.json,Unnamed,-148.92468,62.55764,Mesozonal orogenic gold
172,405,mrdata_json/mrds/10001427.json,Treasure Creek,-149.30278,62.87958,Porphyry copper-molybdenum
173,419,mrdata_json/mrds/10001449.json,Ihly,-149.54167,62.72151,Porphyry gold ± copper
174,420,mrdata_json/mrds/10001450.json,Lichen,-147.35273,62.88962,Mesozonal orogenic gold
175,423,mrdata_json/mrds/10001453.json,Mint,-149.36084,62.86847,Vein polymetallic
176,425,mrdata_json/mrds/10001456.json,Susitna River - Gold Creek,-149.69667,62.76651,Fluvial placer gold
177,529,mrdata_json/mrds/10001645.json,Nelson and Tift,-131.9737,54.80167,Skarn copper
178,530,mrdata_json/mrds/10001649.json,Whalen,-154.76406,63.22448,Skarn copper
179,531,mrdata_json/mrds/10001650.json,Unnamed,-154.84293,63.05947,Sedimentary manganese
180,532,mrdata_json/mrds/10001651.json,Ruby Creek,-154.79906,63.23559,Heavy mineral sands
181,533,mrdata_json/mrds/10001652.json,Crystal Gulch,-154.78295,63.23337,Heavy mineral sands
182,534,mrdata_json/mrds/10001653.json,Encio Gulch (formerly Riddle Gulch),-154.74989,63.22337,Heavy mineral sands
183,535,mrdata_json/mrds/10001654.json,Birch Gulch (Creek),-154.766,63.21142,Heavy mineral sands
184,536,mrdata_json/mrds/10001655.json,Hidden Creek: Grable and Blackburn Mine,-154.74988,63.21448,Vein tin polymetallic
185,537,mrdata_json/mrds/10001656.json,Eagle Creek,-154.89294,63.11947,Heavy mineral sands
186,538,mrdata_json/mrds/10001658.json,Unnamed,-155.63493,63.50753,Vein polymetallic
187,539,mrdata_json/mrds/10001659.json,Unnamed,-154.33407,63.49755,Siliciclastic-mafic barite
188,540,mrdata_json/mrds/10001660.json,Unnamed (in Sischu Creek valley),-153.15299,63.97953,Epithermal uranium
189,541,mrdata_json/mrds/10001661.json,Unnamed,-153.0391,63.98147,Epithermal uranium
190,542,mrdata_json/mrds/10001662.json,Unnamed,-153.07492,63.95647,Epithermal uranium
191,543,mrdata_json/mrds/10001663.json,Unnamed,-153.1791,63.96064,Epithermal uranium
192,544,mrdata_json/mrds/10001664.json,Unnamed,-153.22493,63.94759,Epithermal uranium
193,557,mrdata_json/mrds/10001679.json,Unnamed (Bristol Bay coast north of Ugashik Bay),-157.64255,57.87932,Fluvial placer gold
194,558,mrdata_json/mrds/10001680.json,Puale Bay,-155.70251,57.79936,Vein polymetallic
195,559,mrdata_json/mrds/10001681.json,Cape Kubugakli Lode,-155.1025,57.89937,Vein polymetallic
196,561,mrdata_json/mrds/10001684.json,Cape Kubugakli Placer,-155.0825,57.87937,Fluvial placer gold
197,571,mrdata_json/mrds/10001696.json,Democrat Creek,-146.36479,64.33774,Fluvial placer gold
198,572,mrdata_json/mrds/10001697.json,Banner Creek,-146.34895,64.31579,Fluvial placer gold
199,573,mrdata_json/mrds/10001698.json,Beaver Creek,-146.39678,64.76358,Fluvial placer gold
200,574,mrdata_json/mrds/10001701.json,Butte Creek,-145.71787,64.73081,Fluvial placer gold
201,575,mrdata_json/mrds/10001703.json,Central Creek,-144.45168,64.34165,Fluvial placer gold
202,576,mrdata_json/mrds/10001706.json,Michigan Creek,-144.62889,64.1636,Fluvial placer gold
203,577,mrdata_json/mrds/10001709.json,Pasco Creek,-145.55397,64.66859,Fluvial placer gold
204,578,mrdata_json/mrds/10001710.json,Pine Creek,-146.30483,64.73858,Fluvial placer gold
205,579,mrdata_json/mrds/10001711.json,Redmond Creek,-146.6148,64.36578,Fluvial placer gold
206,580,mrdata_json/mrds/10001712.json,Tenderfoot Creek,-146.23284,64.27468,Fluvial placer gold
207,581,mrdata_json/mrds/10001713.json,Tibbs Creek,-144.26585,64.38278,Fluvial placer gold
208,582,mrdata_json/mrds/10001720.json,Gold Run Creek,-146.32897,64.43357,Fluvial placer gold
209,583,mrdata_json/mrds/10001726.json,Unnamed (west of the Middle Fork Chandalar River),-147.81335,68.04976,MVT zinc-lead
210,584,mrdata_json/mrds/10001727.json,Unnamed (west of the Middle Fork Chandalar River),-147.82335,68.03976,MVT zinc-lead
211,585,mrdata_json/mrds/10001728.json,Unnamed (west of the Middle Fork Chandalar River),-147.87335,68.02976,MVT zinc-lead
212,586,mrdata_json/mrds/10001734.json,Unnamed (west of Wind River),-147.58338,68.30977,Replacement polymetallic
213,587,mrdata_json/mrds/10001736.json,Unnamed (southwest of Atigun River Gorge),-149.24346,68.46974,Siliciclastic-mafic barite
214,588,mrdata_json/mrds/10001745.json,Mosquito,-143.47271,63.88972,Porphyry copper-molybdenum
215,589,mrdata_json/mrds/10001746.json,Peternie,-142.99267,63.60972,Porphyry copper-molybdenum
216,590,mrdata_json/mrds/10001747.json,Mt. Fairplay,-142.24266,63.68974,Porphyry copper-molybdenum
217,591,mrdata_json/mrds/10001748.json,Pika Canyon,-141.41264,63.82976,Porphyry copper-molybdenum
218,592,mrdata_json/mrds/10001750.json,Bluff,-141.48262,63.61975,Porphyry copper-molybdenum
219,593,mrdata_json/mrds/10001751.json,Pushbush,-141.32261,63.51975,Porphyry copper-molybdenum
220,594,mrdata_json/mrds/10001755.json,ASARCO,-142.51263,63.36972,Porphyry copper-molybdenum
221,595,mrdata_json/mrds/10001759.json,Galena Creek-West,-142.04013,68.37988,Vein polymetallic
222,596,mrdata_json/mrds/10001760.json,Galena Creek - East,-141.99512,68.381,Vein polymetallic
223,598,mrdata_json/mrds/10001764.json,Big Squaw Creek,-148.22329,67.53973,Fluvial placer gold
224,600,mrdata_json/mrds/10001766.json,Eneveloe (Bonanza,-148.20329,67.53974,Mesozonal orogenic gold
225,601,mrdata_json/mrds/10001767.json,Little Squaw (Cosine,-148.19329,67.55974,Mesozonal orogenic gold
226,602,mrdata_json/mrds/10001768.json,Little Squaw Creek,-148.16329,67.56974,Fluvial placer gold
227,603,mrdata_json/mrds/10001770.json,Star Group,-148.21329,67.53974,Mesozonal orogenic gold
228,604,mrdata_json/mrds/10001771.json,Summit,-148.20329,67.53974,Mesozonal orogenic gold
229,605,mrdata_json/mrds/10001772.json,Tobin Creek,-148.30329,67.52973,Fluvial placer gold
230,608,mrdata_json/mrds/10001775.json,Unnamed (northwest of Bend Mountain),-148.49334,67.83974,Vein polymetallic
231,609,mrdata_json/mrds/10001776.json,Unnamed (north of Bend Mountain),-148.37335,67.93974,Vein polymetallic
232,612,mrdata_json/mrds/10001780.json,Swede Creek,-163.69936,64.56738,Fluvial placer gold
233,613,mrdata_json/mrds/10001781.json,Bunker Hill,-163.76714,64.59432,Mesozonal orogenic gold
234,614,mrdata_json/mrds/10001783.json,California Creek,-163.9102,64.60821,Fluvial placer gold
235,615,mrdata_json/mrds/10001784.json,Silverbow Creek (Little Anvil Creek),-163.85326,64.58932,Fluvial placer gold
236,616,mrdata_json/mrds/10001785.json,Cache Creek (Spruce Creek),-164.15215,64.59042,Fluvial placer gold
237,617,mrdata_json/mrds/10001787.json,Unnamed (Big Hurrah Creek),-164.25438,64.66042,Mesozonal orogenic gold
238,618,mrdata_json/mrds/10001789.json,Unnamed (near Big Hurrah Creek),-164.26438,64.65125,Mesozonal orogenic gold
239,619,mrdata_json/mrds/10001790.json,Solomon River,-164.32439,64.73737,Fluvial placer gold
240,620,mrdata_json/mrds/10001792.json,Solomon River (lower),-164.38715,64.61125,Fluvial placer gold
241,621,mrdata_json/mrds/10001794.json,Butte Creek,-164.33522,64.7082,Fluvial placer gold
242,622,mrdata_json/mrds/10001796.json,Adams Creek,-164.45217,64.70625,Fluvial placer gold
243,623,mrdata_json/mrds/10001797.json,Manila Creek,-164.42326,64.58931,Fluvial placer gold
244,624,mrdata_json/mrds/10001798.json,Rock Creek,-164.37326,64.60931,Fluvial placer gold
245,625,mrdata_json/mrds/10001800.json,West Creek,-164.45938,64.67625,Fluvial placer gold
246,626,mrdata_json/mrds/10001801.json,Kasson Creek,-164.41133,64.69125,Fluvial placer gold
247,627,mrdata_json/mrds/10001802.json,Mystery Creek,-164.45633,64.6432,Fluvial placer gold
248,628,mrdata_json/mrds/10001803.json,Rabbit Creek,-164.34327,64.61931,Fluvial placer gold
249,629,mrdata_json/mrds/10001804.json,Beaver Creek,-164.81327,64.6393,Fluvial placer gold
250,630,mrdata_json/mrds/10001805.json,Pajara Creek,-164.84134,64.66624,Fluvial placer gold
251,631,mrdata_json/mrds/10001812.json,Mystery Creek,-163.53217,64.86239,Fluvial placer gold
252,632,mrdata_json/mrds/10001813.json,Melsing Creek,-163.65635,64.90044,Fluvial placer gold
253,633,mrdata_json/mrds/10001814.json,Snowball Creek,-163.60441,64.99627,Fluvial placer gold
254,634,mrdata_json/mrds/10001815.json,Fox River,-163.79634,64.78238,Fluvial placer gold
255,635,mrdata_json/mrds/10001816.json,Richter Creek,-163.78829,64.91739,Fluvial placer gold
256,636,mrdata_json/mrds/10001817.json,Niukluk River,-163.6494,64.87322,Fluvial placer gold
257,637,mrdata_json/mrds/10001818.json,Niukluk River,-163.73523,64.90127,Fluvial placer gold
258,638,mrdata_json/mrds/10001819.json,Sweetcake Creek,-163.7444,64.93127,Fluvial placer gold
259,639,mrdata_json/mrds/10001820.json,Unnamed (near Post Creek),-164.02024,64.97043,Mesozonal orogenic gold
260,640,mrdata_json/mrds/10001822.json,Camp Creek,-163.92941,64.93126,Fluvial placer gold
261,641,mrdata_json/mrds/10001824.json,Puckmummie Creek,-164.07136,64.95543,Fluvial placer gold
262,642,mrdata_json/mrds/10001825.json,Birch Creek,-164.13218,64.83043,Fluvial placer gold
263,643,mrdata_json/mrds/10001826.json,Banner Creek,-164.32023,64.82237,Fluvial placer gold
264,644,mrdata_json/mrds/10001827.json,Dixon Creek,-164.2233,64.88932,Fluvial placer gold
265,645,mrdata_json/mrds/10001828.json,Dawson Creek,-164.17941,64.91238,Fluvial placer gold
266,646,mrdata_json/mrds/10001829.json,Big Four Creek,-164.17636,64.90238,Fluvial placer gold
