,Unnamed: 0,Deposit type,Description
27,27,Supergene vanadium,"Supergene vanadium deposits belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene vanadium deposits include: Variable climate, unsaturated zone, preexisting V-rich mineralization, water table.  Supergene vanadium deposits are distinct mineral deposits formed in the near-surface environment, typically characterized by secondary enrichment processes in pre-existing vanadium-rich protoliths. These deposits generally occur in regions with variable climates that exhibit alternations of wet and dry conditions, facilitating chemical weathering and leaching. The most prevalent rock types associated with these deposits often include sedimentary rocks such as sandstones and shales, enriched with vanadium-bearing minerals like carnotite and roscoelite, frequently derived from prior vanadium-rich deposits located proximal to oxidizing and weathering zones. The primary commodity extracted from these deposits is vanadium, often alongside minerals with uranium and other trace elements. Supergene vanadium deposits present moderate grades, typically ranging from 0.2% to 2.0% V2O5, with varied tonnage often encompassing large lateral extensions due to the dispersal nature of supergene processes. Regarding physiography, these deposits are generally found at shallow depths relative to the water table, where oxidizing conditions prevail. The age of mineralization is commonly Tertiary to Recent, reflecting the current geological climate cycles that aid in supergene enrichment processes. The orebody morphology is usually tabular or lens-shaped, controlled extensively by the permeability of the host sedimentary rocks and the redox conditions at the water table. Alteration is dominated by oxidation with the development of characteristic reddish hues in the host rocks. Ore control is primarily related to the pre-existing structural features and sedimentary layers, which act as conduits for migration and concentration of vanadium during later supergene processes. Structurally, supergene vanadium deposits often conform to flat-lying or gently dipping strata, becoming concentrated along bedding planes, suggesting minimal tectonic deformation post-deposition. Such deposits are distinguishable from hypogene mineral deposits by their formation environment, a significant influence of climatic conditions, and the oxidized mineral assemblages present."
28,28,Supergene gold,"Supergene gold deposits are also known as Regolith gold. They belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene gold deposits include: Variable climate, unsaturated zone, preexisting Au-rich mineralization, water table.  Supergene gold deposits, also referred to as Regolith gold deposits, are characterized by their formation through weathering processes in the unsaturated zone above the water table, typically in regions with a pre-existing gold-enriched primary mineralization. These deposits are formed in the regolith, a layer of loose, heterogeneous material covering solid rock, and exhibit distinctive features such as residual or alluvial concentrations of gold. The presence of a variable climate is crucial, often where seasonal changes promote oxidative weathering that leads to the mobilization and concentration of gold. Unlike other gold deposit types, supergene gold is found primarily within oxidized rock types and regolith, often presenting as nuggets or fine particles. They are typically low-tonnage but can display high-grade concentrations, as the supergene processes concentrate gold by removal of gangue materials and enriching the residual deposit. The physiographic settings are usually stable, flat-lying terrains with a clear distinction between the oxidized and unoxidized zones. Mineralization ages vary, as supergene processes can remobilize gold from older primary deposits. Supergene alterations include oxidation, especially the dissolution and re-precipitation of gold, often accompanied by iron oxides and hydroxides. Ore controls are primarily climatic and hydrological, as these factors influence weathering and gold mobilization. Structurally, supergene gold is typically associated with stable cratonic regions where tectonic activity exposes underlying primary deposits to surface processes without causing significant deformation. This tectonic inactivity distinguishes supergene deposits from those in more dynamic environments where tectonic forces play a larger role in ore formation. Overall, supergene gold deposits are unique for their secondary enrichment processes, with climatic conditions and regolith development playing a critical role in their formation and preservation, setting them apart from primary or hypogene gold deposits."
29,29,Supergene zinc,"Supergene zinc deposits are also known as Non-sulfide Zn, oxi-dized Zn (Pb). They belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene zinc deposits include: Variable climate, unsaturated zone, preexisting Zn-rich mineralization, water table.  Supergene zinc deposits, particularly in the Salmo district of British Columbia, are characterized by their occurrence in carbonate rocks like dolostone and limestone, predominantly of the Reeves Member and Laib Formation, with the presence of nonsulfide minerals such as hemimorphite, hydrozincite, willemite, hopeite, and tarbuttite replacing original sulfides. These deposits exhibit two main ore types recognized as 'red ore', containing iron oxides (hematite and goethite), and 'white ore', mainly comprised of hemimorphite. Zinc and lead are the principal commodities, with high-grade zones like those at the Red Bird deposit reaching up to 18.5 wt% Zn, and average grades in other deposits like Jersey-Emerald being around 4.45 wt% Zn. These deposits are situated within the structurally complex Kootenay arc, featuring a challenging physiography of steep mineralized zones. The mineralization process is linked to the oxidation of sulfide protore from the Devonian, with the supergene nonsulfide phase potentially forming post-Eocene or during the last glaciation (~14,500 'C yr BP). Orebodies are stratabound, lens-shaped, and aligned with dolomitized envelopes and folds, with significant supergene weathering and oxidation altering original minerals. Structural controls, including faults and fold axes, as well as lithological layering, influence ore localization. The presence of fractures and veins plays a crucial role in hosting nonsulfide minerals, highlighting the importance of fluid pathways. The deposits are set in a tectonic context marked by multiple deformation phases due to orogenic events such as the Antler and Cordilleran orogenies. Distinguishing features include the presence of hemimorphite over smithsonite due to elevated silica activity, marking a unique aspect of these supergene deposits, which can preserve through glacial abrasion, indicating potential in other glaciated areas."
30,30,Supergene copper,"Supergene copper deposits belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene copper deposits include: Variable climate, unsaturated zone, preexisting Cu-rich mineralization, water table.  Supergene copper deposits are characterized by their formation within the weathering zone of pre-existing sulfide deposits, typically in arid to semi-arid climates with distinct wet and dry seasons that promote oxidation processes. These deposits frequently overlay older hypogene porphyry copper deposits. The defining feature of supergene copper deposits is their secondary enrichment process, where primary sulfide minerals like chalcopyrite are oxidized to form secondary minerals such as malachite, azurite, chrysocolla, and native copper. These enrichments occur near the water table level where oxygen-rich meteoric water infiltrates, leading to the leaching of copper from upper sulfide zones and re-precipitation below, often forming enriched blankets of economically viable copper concentrations. Host rocks are generally composed of porphyritic granodiorites or other intrusive igneous rocks, with secondary deposits often occurring in sedimentary layers. Typically, these deposits yield copper with high grades due to secondary enrichment, with grades ranging from 0.2% to more than 5% copper, and can vary significantly in tonnage from tens of thousands to several billion metric tonnes. The orebody often exhibits tabular and irregular shapes, controlled by the original ore distribution and the permeability of host rocks. Structurally, supergene copper deposits may be influenced by faults and fractures that facilitate fluid movement but are generally not dominated by tectonic activities. The mineralization age varies, but the supergene process operates over a geologically short period, coinciding with current climatic conditions. Noteworthy alteration includes oxidation and the formation of secondary carbonates and oxides. In summary, supergene copper deposits distinguish themselves by their unique genesis involving surface weathering processes, leading to the enrichment of copper near the surface, contrasting sharply with the deeper, primary magmatic processes of hypogene deposits."
31,31,Supergene manganese,"Supergene manganese deposits belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene manganese deposits include: Variable climate, unsaturated zone, preexisting Mn-rich mineralization, water table.  Supergene manganese deposits are distinct mineral deposits formed predominantly through processes of weathering and secondary enrichment. These deposits generally occur in environments where pre-existing Mn-rich mineralization undergoes chemical alteration due to the influence of meteoric water in an unsaturated zone. The host rock types for these deposits are typically sedimentary units, such as shales, limestones, and sandstones, alongside weathered and enriched lateritic profiles. The ore mineralogy is dominated by manganese oxides like pyrolusite, cryptomelane, and wad, which result from the oxidation and leaching of primary manganese minerals. The primary commodity extracted from these deposits is manganese, a critical component for steel production and battery electrodes, with economically viable grades commonly ranging from 20-45% Mn content. Supergene manganese deposits tend to form in terrains with variable climates and are controlled by the position of the water table, where periodic fluctuations enhance manganese mobility. These deposits are typically small to medium-sized in tonnage, but due to high grades, they are economically significant. Physiographically, they form in gently sloping to flat terrains, sometimes associated with paleo-channels or karstic depressions. The alteration associated with supergene manganese deposits is predominantly oxidation and lateritization. Orebody morphology can include layers, lenses, and pockets concentrated along structural controls such as fractures and faults, which serve as conduits for mineralizing fluids. Tectonically, these deposits are not restricted to a specific setting but are often found in stable cratonic regions where prolonged weathering processes can prevail. A distinguishing feature of supergene manganese deposits is their unique formation process through recent geological time, highlighting an ongoing mineralization that differs significantly from hypogene processes seen in other manganese deposit types."
32,32,Supergene iron,"Supergene iron deposits belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene iron deposits include: Variable climate, unsaturated zone, preexisting Fe-rich mineralization, water table.  Supergene iron deposits are distinctive mineral deposits formed through the secondary enrichment of iron in the oxidized zone above primary iron-rich mineralizations. These deposits typically arise in environments characterized by a variable climate and the presence of an unsaturated zone with active water table interactions that facilitate the leaching and subsequent enrichment processes. Key rock types associated with these deposits include laterites, which are formed on a variety of underlying lithologies but are often situated over banded iron formations or iron-rich bedrock. The ore types predominantly consist of hematite and goethite, richly accumulating through the supergene process, with iron (Fe) as the primary commodity. These deposits are typically high-grade; supergene processes can significantly enrich the iron content to 55-68%, making them economically valuable. Tonnage can vary significantly, but these deposits often support large-scale mining operations. Physiographically, they are typically located in regions with a stable tectonic setting, such as cratonic margins or stable continental interiors, where prolonged weathering is possible. In terms of age, these deposits are relatively young, often forming in post-Paleozoic eras due to the requirement of a significant geologic timespan for weathering. The orebody shapes are generally uniform, blanket-like concentrations paralleling the weathering profile. Alteration processes include intense weathering and oxidation of preexisting iron minerals, leading to the significant mobilization and reprecipitation of iron as oxides and hydroxides. Key ore controls include the preexisting distribution of iron within the parent rock, climatic influence on weathering intensity, and local tectonic stability that allows sustained chemical weathering. These factors collectively distinguish supergene iron deposits from hypogene sources, which typically involve primary magmatic or hydrothermal processes with different ore and alteration mineralogies, tectonic settings, and formation mechanisms."
33,33,Exotic copper,"Exotic copper deposits are also known as Paleochannel copper. They belong to the general deposit group of Exotic deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Exotic copper deposits include: Infiltration of surface water, aquifers, preexisting Cu mineralization, redox interface.  Exotic copper deposits, also referred to as paleochannel copper deposits, represent a unique type of copper mineralization characterized by their genesis through the secondary enrichment of copper via aqueous solutions, distinguishing them from primary copper deposits. These deposits are typically hosted in sedimentary environments, specifically within paleochannels where previous fluvial systems have left behind a suitable sediment matrix, such as alluvial gravels and cobbles, conducive for copper mineralization. The primary ore mineral is often copper oxide minerals like chrysocolla, atacamite, or copper carbonates such as malachite and azurite, differing from sulfide-dominated deposits. This secondary mineralization frequently occurs at redox interfaces where chemically reducing conditions facilitate copper precipitation. Exotic copper deposits generally contain lower grades compared to primary porphyry copper deposits but can be economically significant due to shallow depths and ease of extraction, often showing grades around 0.5-2% copper. Tonnage varies widely, depending on the paleochannel size and extent of mineralization. These deposits form in arid to semi-arid climates where limited vegetation allows for effective surface water percolation. Mineralization is typically younger, spanning from the Tertiary to Quaternary periods, reflecting recent weathering processes. Alteration is minimal, with localized silicification and hematization at copper mineral zones. Structurally, these deposits are controlled by sedimentary features such as permeable channel fills and fault conduits that focus fluid flow. Tectonic settings associated with exotic copper deposits link to regions with exposed Porphyry copper or other primary copper sources undergoing weathering, such as the Central Andes. Their unique formation and localization make them distinctive from other copper deposits, often requiring specific exploration techniques focused on geochemical and geophysical detection of oxidized copper halos."
34,34,Paleochannel iron,"Paleochannel iron deposits are also known as Ferricretes, manganocretes. They belong to the general deposit group of Paleochannel deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Paleochannel iron deposits include: Infiltration of surface water, fluvial paleochannels, preexisting Fe, Mn mineralization, redox interface.  Paleochannel iron deposits, often referred to as ferricretes or manganocretes, are unique geological formations predominantly found in ancient fluvial systems where surface water has infiltrated, leading to the concentration of iron (Fe) and manganese (Mn) minerals. These deposits form within relict paleochannels, where iron and manganese are precipitated from groundwater due to redox conditions at the water-air interface. The host rocks are typically sediments including sand, gravel, and clay, which have undergone iron and manganese enrichment. The primary commodities extracted from these deposits are iron and, to a lesser extent, manganese. The grades of these deposits can vary widely but are often lower than those seen in traditional banded iron formations, highlighting the significance of influencing factors such as depositional environment and post-depositional alterations. In terms of tonnage, they tend to be smaller compared to other iron ore deposits, though still economically viable. Paleochannel deposits typically occur in terrains that are relatively flat and were once part of extensive river systems, with their ages ranging from Cenozoic to Mesozoic, reflecting varied tectonic and climatic histories. Ore control is heavily influenced by the paleoenvironmental conditions, with structural controls often related to the buried preexisting channels. Alteration is characterized by the oxidation of iron-bearing minerals and the formation of lateritic profiles. Tectonically, these deposits form in stable cratonic regions or passive margins where there is minimal deformation. The distinguishing feature of paleochannel iron deposits compared to other types such as banded iron formations or laterites is their genesis tied to fluvial processes and surface water infiltration, leading to localized concentrations of iron and manganese in previously existing sedimentary channels, often with clear indicators of past hydrological dynamics."
35,35,Sandstone uranium,"Sandstone uranium deposits are also known as Roll front, and others. They belong to the general deposit group of Uranium deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Sandstone uranium deposits include: Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface. Sandstone uranium type mineral deposits are also known as USGS deposit model number 30c. Sandstone uranium type mineral deposits are also known as Sandstone U.  Sandstone uranium deposits, commonly referred to as roll-front deposits, are significant sources of uranium and are typically found within sedimentary basins where permeable, coarse-grained clastic rocks such as sandstones and conglomerates exist. These formations are interbedded with finer-grained, impermeable layers like shales which facilitate groundwater movement, creating a suitable redox boundary necessary for uranium precipitation. The primary ore mineral is uraninite, alongside secondary minerals like coffinite and carnotite, with associated commodities sometimes including vanadium and selenium. These deposits generally exhibit a lens-shaped or crescent-like morphology, forming extensive, arcuate, roll-front patterns along the redox front, where oxidizing groundwater containing dissolved uranium encounters reducing conditions, often influenced by organic material or sulfur compounds. The deposits are typically of Cenozoic and Mesozoic age, though the precise age can vary depending on the specific basin. Average grades for these deposits are generally low, often ranging from 0.05% to 0.2% U3O8, but they can achieve considerable cumulative tonnages. Physically, these deposits often present in flat-lying, permeable rock layers within larger, gently dipping stratigraphic sequences, with geomorphological settings including areas such as fluvial or deltaic channels, marginal marine environments, and alluvial plains. Alteration processes primarily involve the oxidation of the host rock, with hematization observable due to the presence of iron oxides from the leaching action. Key ore controls include the redox interface, lithological variations, and structural features like faults and fractures that facilitate fluid movement. Tectonically, these deposits are typically located in stable cratonic regions or foreland basins, distinguished by their unique formation processes driven by the infiltration of uranium-rich groundwater, setting them apart from magmatic or metamorphically associated uranium deposits."
36,36,Carbonate uranium,"Carbonate uranium deposits belong to the general deposit group of Uranium deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Carbonate uranium deposits include: Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface.  Carbonate uranium deposits are a distinctive type of uranium mineralization characterized by their formation through the infiltration of oxidized surface or meteoric waters that percolate through carbonate-rich sedimentary sequences. These deposits typically occur in regions with preexisting volcanic ash-bearing sedimentary rocks, which provide an essential source of uranium. The presence of a redox interface is crucial as it promotes the precipitation of uranium minerals when oxidizing fluids encounter reducing conditions within aquifers, often hosted within limestones, dolostones, or carbonate-cemented sandstones. This mineralization process results in the deposition of uraninite (UO2) and coffinite (U(SiO4)1-x(OH)4x), among other secondary uranium minerals like carnotite (K2(UO2)2(VO4)2·3H2O). The deposits typically reside within shallow, near-surface environments, sometimes associated with basin margins or paleochannels, and exhibit a range of grades and tonnages, often moderate in size compared to larger unconformity-related deposits. Alteration halos can include the oxidation of host rocks and the development of clay minerals such as kaolinite and illite. Structurally, carbonate uranium deposits often align along fault zones or fracture networks, which facilitate fluid movement and uranium deposition. Tectonically, they are typically found in stable, intracratonic basins or at the margins of tectonic provinces where porous carbonate rocks are available. The age of mineralization can vary but is often linked to geological periods where conditions were favorable for the extensive weathering required for surface infiltration, commonly ranging from the Mesozoic to the Cenozoic eras. Distinct from other uranium deposit types like unconformity-related or sandstone-hosted, carbonate uranium deposits are distinguished by their carbonate-rich hosts, infiltration genesis, specific mineral associations, and the critical role of surface-derived oxidizing conditions in their formation."
37,37,Coal/peat/bog uranium,"Coal/peat/bog uranium deposits belong to the general deposit group of Uranium deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Coal/peat/bog uranium deposits include: Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface.  Coal/peat/bog uranium deposits are a unique category of uranium deposits characterized by their formation in environments rich in organic material, such as peat bogs, coal seams, or lignite beds. These deposits typically form through the infiltration of surface water carrying uranium into a reducing environment provided by the organic content, often at a redox interface where oxidized uranium becomes reduced and precipitates. The host rocks are usually sedimentary, incorporating preexisting volcanic ash layers that contribute to the uranium concentration. The ore type primarily consists of uraniferous organic material, and the uranium can be associated with minerals such as uraninite or complex organic-bound uranium compounds. Grade and tonnage can vary significantly, but these deposits are typically of moderate grade compared to high-grade deposits like those found in Canadian Athabasca Basin. The physiography of coal/peat/bog uranium deposits often involves flat-lying sedimentary basins or ancient lake beds. They are typically younger in terms of geological age, often forming in Cenozoic or Quaternary periods. The orebody generally lacks sharp boundaries and is diffusely distributed throughout the host organic material. Alteration processes involve the transformation of organic material, which can affect the mobility of uranium. Tectonic settings are generally stable continental interiors where sedimentary depositional environments predominate. What distinguishes these deposits from other uranium types is their dependence on organic-rich lithologies and the role of biochemical processes in localizing and concentrating uranium. Ore control is heavily influenced by the presence and preservation of peat and coal beds, with uranium occurring along redox fronts governed by water table fluctuations and biochemical interactions. These settings make coal/peat/bog uranium deposits distinct from hard rock uranium deposits in igneous or metamorphic terranes, as they are closely related to surficial depositional and diagenetic processes."
38,38,Calcrete uranium,"Calcrete uranium deposits are also known as Surficial uranium, evaporite uranium. They belong to the general deposit group of Uranium deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Calcrete uranium deposits include: Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, lacustrine evaporite.  Calcrete uranium deposits, also identified as surficial or evaporite uranium deposits, are distinct in their formation within semi-arid to arid environments where the evaporation of water from calcrete (calcium carbonate) rich environments plays a crucial role. The primary host rock for these deposits is calcrete, though they also form in settings featuring volcanic ash-bearing sedimentary rocks and evaporites, particularly in shallow basins or depressions with alkaline, uranium-rich groundwater. Unlike deeper, more structurally complex uranium deposit types, calcrete uranium deposits occur near the surface and are sediment-hosted, often characterized by broad, thin, horizontal ore bodies. The principal ore mineral is carnotite, a hydrated potassium uranium vanadate, and the deposits are formed through the precipitation of uranium as surface water percolates and evaporates, concentrating uranium in calcrete horizons. This mineralizing process results in relatively low-grade material compared to other types like unconformity-related or roll-front uranium deposits, but they can possess significant tonnage. Calcrete uranium deposits typically form during geologically recent periods and are common in places with tectonically stable settings such as Australia and Namibia. Structurally, these deposits are controlled by factors like sedimentary basin development and aquifer flow pathways, with the uranium precipitating in areas where groundwater loses CO2 and pH changes occur. Distinguishing features include their association with regions of alkaline groundwater, evaporative climatic conditions, and lack of significant associated tectonic deformation. The simplicity of their geology and above-ground mining potential makes them economically attractive, particularly in regions where typical high-grade deposits are absent."
39,39,Nodular magnesite,"Nodular magnesite deposits are also known as Cryptocrystalline magnesite. They belong to the general deposit group of Magnesite deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Nodular magnesite deposits include: Infiltration of CO2-bearing surface water into fractured ultramafic rocks.  Nodular magnesite deposits, also referred to as cryptocrystalline magnesite, present distinct geological features that differentiate them from other mineral deposit types. These deposits predominantly form within serpentinized ultramafic rocks, such as dunite and peridotite, sometimes accompanied by pyroxenite, pillow basalt, and sheeted dikes. The primary component of these deposits is magnesite, occasionally found with talc by-products. Characterized by a relatively small size, nodular magnesite deposits typically manifest as lenticular masses, veins, and stockworks, with vein dimensions ranging from a few feet to hundreds of feet in length and a few inches to tens of feet in width. They are generally associated with ophiolite complexes and accreted terranes, highlighting a tectonic setting conducive to their formation. The deposits are formed through the infiltration of CO2-bearing surface waters into fractured ultramafic host rocks, resulting in carbonatization, a dominant alteration process. The host rocks’ fracture systems, faults, and shear zones frequently control ore localization. Age-wise, mineralization spans from the Paleozoic to the Mesozoic era. Unique to these deposits is their cryptocrystalline texture, occasionally fibrous or granular, which allows for relatively easier beneficiation due to lower iron and boron content. Nodular magnesite’s resilience to weathering often leads to topographic highs, distinguishable by its rusty brown color due to weathering processes. Such nodular deposits are more resilient than dolomite, posing potential health and environmental concerns due to the presence of tremolite-actinolite gangue minerals. Extraction often requires underground mining due to the irregular and narrow shape of the deposits, and magnesite from these formations can be processed more energy-efficiently than brine-sourced magnesia."
40,40,Marine evaporite gypsum,"Marine evaporite gypsum deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine evaporite gypsum deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. Marine evaporite gypsum type mineral deposits are also known as USGS deposit model number 35ae. Marine evaporite gypsum type mineral deposits are also known as Bedded gypsum: marine evaporite gypsum.  Marine evaporite gypsum deposits, a subset of evaporite deposits, are predominantly composed of gypsum, with no accompanying by-products. These deposits are primarily situated in subsiding marginal marine basins near continental margins, where periodic seawater influx and evaporation occur, leading to the precipitation of calcium sulfate. The characteristic host rocks include dolomite, with associated rocks often comprising anhydrite, limestone, and halite. These deposits span a wide age range from the Late Proterozoic to the Miocene, with the Paleozoic and Mesozoic being the most common periods of formation. Ore mineralogy is dominated by gypsum, frequently interlaminated with trace calcite or dolomite, while the gangue minerals also include calcite and dolomite. Gypsum forms through the hydration of anhydrite, with quality reliant on hydration extent, influenced by groundwater that may alter deposit structure through changes in porosity or dissolution. The structural setting is defined by basins with moderate subsidence, and ore control is governed by brines within these evaporative environments reaching sufficient salinity. Bedded gypsum deposits can range from 10 to 50 meters in thickness and cover extensive areas. Weathering can dissolve gypsum deposits unless located in arid climates, while metamorphism can generate skarn minerals. Mining typically employs strip mining or underground methods for deeper occurrences, with economic viability impacted by the gypsum's purity and transportation costs due to minimal beneficiation requirements. Explorers use basin-edge sediment indicators and high-sulfate brines to identify potential deposits, and geophysical surveys may highlight gypsum's water content through a high neutron log response. This combination of geological, structural, and economic characteristics differentiates marine evaporite gypsum deposits from other mineral deposit types."
41,41,Marine evaporite salt,"Marine evaporite salt deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine evaporite salt deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. Marine evaporite salt type mineral deposits are also known as USGS deposit model number 35ac. Marine evaporite salt type mineral deposits are also known as Bedded salt: marine evaporite salt.  Marine evaporite salt deposits are significant geological features characterized by their origin in marine basins with rapid subsidence and high saline inflows necessary for sodium chloride precipitation. These deposits primarily yield halite, with anhydrite serving as a major host rock alongside lesser amounts of limestone and dolomite. Notably, the Silurian Salina Formation, Permian Hutchinson salt, Mississippian Charles Formation, and Permian Zechstein evaporites are prominent examples. Spanning an age range from the Late Proterozoic to Miocene, such deposits form in marginal marine basins, often near continental margins where seawater inflow is prevalent. Typically, these deposits are found in basins that experienced extensive subsidence, leading to the development of thick, extensive layers of bedded salt—ranging from 10 to 100 meters in thickness and covering vast areas. The halite is frequently interlayered with anhydrite, reflecting the high salinity conditions necessary for salt deposition. Marine evaporite salt deposits are distinct as they typically lack by-products, focusing solely on sodium chloride, utilized in chemical industries and for snow and ice control. Exploration relies on identifying high-salinity brines, with bromine content in these salts ranging from 60 to 200 ppm providing a distinct geochemical signature. Structural settings and ore control are influenced by the basin’s brines and inflows, with marine evaporite environments requiring more stringent purity levels due to economic factors like transportation costs. Environmental conditions, such as arid climates, preserve surface salt deposits, whereas regional metamorphism can obliterate these deposits, altering surrounding rocks through processes like albitization. The economic viability of these deposits hinges on their purity and proximity to infrastructure, emphasizing the delicate balance needed between mining operations and logistical costs."
42,42,Marine evaporite potash,"Marine evaporite potash deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine evaporite potash deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. Marine evaporite potash type mineral deposits are also known as USGS deposit model number 35ab. Marine evaporite potash type mineral deposits are also known as Potash-bearing bedded salt.  Marine evaporite potash deposits are an intriguing and economically significant class of evaporite deposits typically formed in silled marine basins during periods of significant evaporation in Earth's geological history. They are characterized by their stratigraphic sequences of evaporite minerals like halite (rock salt) and sylvite, which may form in extensive, horizontally-layered bedded formations. These deposits often arise in arid climates where restricted marine conditions facilitate the concentration and precipitation of potassium salts as water bodies evaporate. Their genesis is commonly linked with tectonically stable settings that allow for the development of geographically extensive evaporite basins. Pinnacle reefs, sabkha dolomites, and other carbonate formations often coexist with these deposits, providing unique structural and textural features that aid in the trapping and localization of potash minerals. The age of Marine evaporite potash deposits can vary widely, frequently appearing in sedimentary basins from the Permian to the Quaternary periods. Ore control is largely dictated by the original basin morphology and subsequent geological modifications, with faulting or folding playing vital roles in redistributing potash-rich layers. These deposits are distinct from other mineral deposit types due to their specific environmental requirements for formation, which include prolonged evaporation phases and a highly saline environment. Distinguishing features may also include their substantial thickness and lateral continuity, often resulting in large tonnage and high-grade potash resources, making them a target for mining operations. The association of potash with other evaporites such as gypsum and anhydrite adds a complex suite of minerals that must be managed in mining and processing. Collectively, these features position Marine evaporite potash deposits as an essential component of the global potash supply chain, crucial for agricultural fertilizers."
43,43,Marine evaporite magnesite,"Marine evaporite magnesite deposits are also known as Sedimentary magnesite. They belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine evaporite magnesite deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites.  Marine evaporite magnesite deposits, often termed Sedimentary magnesite deposits, are unique geological occurrences that predominantly form in silled marine basins under arid climatic conditions, where extensive evaporation exceeds inflow, leading to the deposition of evaporite minerals. The primary commodity extracted from these deposits is magnesite (MgCO₃), often associated with ancillary halite, anhydrite, and dolomite layers within the host rocks. These deposits are typically characterized by their stratiform nature and are commonly interbedded with other sedimentary rock types, such as limestones and dolomites, which are key precursors facilitated by pinnacle reefs and sabkha conditions that define the depositional environment. The deposits exhibit massive to nodular ore morphology, with magnesite presenting both high-grade and large tonnages, although specific grades can be variable based on the extent of evaporitic concentration and replacement processes. Marine evaporite magnesite deposits frequently originate from the Paleozoic to the Mesozoic eras, with notable formations dating back to periods of significant global marine regressions. The alteration associated with these deposits usually comprises dolomitization and silicification, with structures and textures influenced by primary evaporitic features and secondary tectonic deformation. Tectonically, these deposits tend to form in stable cratonic or passive margin settings, which favor prolonged evaporation and limited influx of terrigenous clastic sediments. Critical ore controls include the presence and extent of salinity gradients, basin subsidence rates, and paleogeographic isolation, allowing concentrated alkaline brines to precipitate magnesite. These marine evaporite systems are distinguishable from other magnesite-forming environments, such as ultramafic-hosted deposits, by their sedimentary processes and distinctive chemical and mineralogical signatures that arise from vast marine and climatic interactions."
44,44,Lacustrine evaporite trona,"Lacustrine evaporite trona deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite trona deposits include: Closed lacustrine drainage basin, arid climate, salt flats.  Lacustrine evaporite trona deposits are fascinating geological formations primarily characterized by their occurrence within closed lacustrine drainage basins, prevalent in arid climatic conditions, as exemplified by the Green River Formation. These deposits are hosted in fine-grained lacustrine rocks like oil shale, dolomitic marlstone, mudstone, and shale, with significant association with volcanic rocks, notably altered volcanic ash which enriches the mineralizing waters with dissolved ions. The primary ore minerals are trona (Na\(_2\)CO\(_3\)·NaHCO\(_3\)·2H\(_2\)O) and nahcolite (NaHCO\(_3\)), with additional minerals such as dawsonite, shortite, and halite, underlining the deposit's complexity. The commodity of major economic interest is soda ash, derived from sodium carbonate. Mineralization predominantly dates to the Middle Eocene, roughly 46-50 million years ago, positioning these deposits as key paleoenvironmental archives. Structurally, they are noteworthy for their genesis in asymmetric sedimentary-structural basins influenced by Laramide tectonics, with high-angle faults contributing to the conditions favorable for formation. The depositional environment experienced significant volcanic influence and is marked by an absence of sulfate minerals, resulting from comprehensive bacterial sulfate reduction, thus distinguishing these deposits from other sodium carbonate-sulfate-chloride formations. This unique geochemical signature is accompanied by ore control factors like early diagenetic processes in a high ion concentration environment conducive to sodium carbonate precipitation. The trona and nahcolite mineralization typically manifests in thick, stratified beds, while mineral alterations, such as dissolution from groundwater, highlight dynamic post-depositional processes. These deposits, particularly in locations like Wyoming and Colorado, represent one of the world's most substantial sodium carbonate sources, underlined by the vast trona beds of the Wilkins Peak Member and the pivotal role these deposits play in global soda ash supply."
