,Deposit group,Description,Deposit types,Genetically related features ,Deposit environment,label
14,Evaporite,"The Evaporite deposit group includes deposits such as Lacustrine evaporite borate, Lacustrine evaporite carnallite- bischofite, Lacustrine evaporite magnesite, Lacustrine evaporite nitrate, Lacustrine evaporite potash, Lacustrine evaporite salt, Lacustrine evaporite trona, Marine evaporite gypsum, Marine evaporite magnesite, Marine evaporite potash, Marine evaporite salt, Sedimentary magnesite. The deposit environment is typically Basin evaporative. Genetically related features of typical Evaporite deposits include: Closed lacustrine drainage basin, arid climate, salt flats, Closed lacustrine drainage basin, arid climate, sea spray, salt flats, Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. ","Lacustrine evaporite borate, Lacustrine evaporite carnallite- bischofite, Lacustrine evaporite magnesite, Lacustrine evaporite nitrate, Lacustrine evaporite potash, Lacustrine evaporite salt, Lacustrine evaporite trona, Marine evaporite gypsum, Marine evaporite magnesite, Marine evaporite potash, Marine evaporite salt, Sedimentary magnesite","Closed lacustrine drainage basin, arid climate, salt flats, Closed lacustrine drainage basin, arid climate, sea spray, salt flats, Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites",Basin evaporative,Evaporite
15,Exotic,"The Exotic deposit group includes deposits such as Exotic copper, Paleochannel copper. The deposit environment is typically Infiltrational. Genetically related features of typical Exotic deposits include: Infiltration of surface water, aquifers, preexisting Cu mineralization, redox interface. ","Exotic copper, Paleochannel copper","Infiltration of surface water, aquifers, preexisting Cu mineralization, redox interface",Infiltrational,Exotic
16,Five-element,"The Five-element deposit group includes deposits such as Ag-Bi-Co-Ni arsenide, Vein five-element. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Five-element deposits include: Crystalline basement, extensional faults, basin brine, natural gas, redox interface, hydrolytic ± CO2 metasomatism, arsenides, regional iron and alkalicalcic metasomatism. ","Ag-Bi-Co-Ni arsenide, Vein five-element","Crystalline basement, extensional faults, basin brine, natural gas, redox interface, hydrolytic ± CO2 metasomatism, arsenides, regional iron and alkalicalcic metasomatism",Basin hydrothermal,Five-element
17,Greisen,"The Greisen deposit group includes deposits such as Greisen beryllium
 ±Li, Greisen tin ±W-Mo, Greisen tungsten- molybdenum
 ±Bi. The deposit environment is typically Magmatic hydrothermal, Magmatic- Magmatic hydrothermal. Genetically related features of typical Greisen deposits include: Continental back arc or hinterland, felsic S-type volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental back arc or hinterland, felsic magmatism of ilmenite series, felsic calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid. ","Greisen beryllium
 ±Li, Greisen tin ±W-Mo, Greisen tungsten- molybdenum
 ±Bi","Continental back arc or hinterland, felsic S-type volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental back arc or hinterland, felsic magmatism of ilmenite series, felsic calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid","Magmatic hydrothermal, Magmatic- Magmatic hydrothermal",Greisen
18,IOA,"The IOA deposit group includes deposits such as Hematite- dominant IOA, Magnetite- dominant IOA. The deposit environment is typically Regional metasomatic. Genetically related features of typical IOA deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ","Hematite- dominant IOA, Magnetite- dominant IOA","Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,IOA
19,IOCG,"The IOCG deposit group includes deposits such as Hematite- dominant IOCG, Magnetite- dominant IOCG. The deposit environment is typically Regional metasomatic. Genetically related features of typical IOCG deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ","Hematite- dominant IOCG, Magnetite- dominant IOCG","Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,IOCG
20,Intrusion-related,"The Intrusion-related deposit group includes deposits such as Oxidized intrusion- related gold, Plutonic-related gold: intrusion- centered gold; sheeted vein gold; shear-related gold veins, Plutonic-related gold; disseminated gold; plutonic gold; intrusion-related gold veins, Reduced intrusion- related gold. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Intrusion-related deposits include: Continental back arc or hinterland, regional felsic magmatism of ilmenite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental back arc or hinterland, regional felsic magmatism of ilmenite to magnetite series, calc-alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ","Oxidized intrusion- related gold, Plutonic-related gold: intrusion- centered gold; sheeted vein gold; shear-related gold veins, Plutonic-related gold; disseminated gold; plutonic gold; intrusion-related gold veins, Reduced intrusion- related gold","Continental back arc or hinterland, regional felsic magmatism of ilmenite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental back arc or hinterland, regional felsic magmatism of ilmenite to magnetite series, calc-alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Intrusion-related
21,Iron formation,"The Iron formation deposit group includes deposits such as Ironstone, Clinton-type, Minette-type, Lacustrine iron formation, Lake Superior, Oolitic iron formation, Superior-type banded iron formation. The deposit environment is typically Basin chemical. Genetically related features of typical Iron formation deposits include: Atmospheric oxidation, oceanic oxidation event, seawater, Oceanic anoxic events, marine chemoclines, ocean currents, wave base, seawater, Regional-scale and intense Fe-Na-(Ca±K) metasomatism and magnetic/gravity anomalies, caldera lakes. ","Ironstone, Clinton-type, Minette-type, Lacustrine iron formation, Lake Superior, Oolitic iron formation, Superior-type banded iron formation","Atmospheric oxidation, oceanic oxidation event, seawater, Oceanic anoxic events, marine chemoclines, ocean currents, wave base, seawater, Regional-scale and intense Fe-Na-(Ca±K) metasomatism and magnetic/gravity anomalies, caldera lakes",Basin chemical,Iron formation
22,Kimberlite,"The Kimberlite deposit group includes deposits such as Kimberlite diamond. The deposit environment is typically Magmatic. Genetically related features of typical Kimberlite deposits include: SCLM partial melt, diatreme, kimberlite. ",Kimberlite diamond,"SCLM partial melt, diatreme, kimberlite",Magmatic,Kimberlite
23,Komatiite,"The Komatiite deposit group includes deposits such as Kambalda-type, raglan- type, Komatiite nickel-copper-PGE. The deposit environment is typically Magmatic. Genetically related features of typical Komatiite deposits include: Archean to early Proterozoic continental rift or plume, high degree mantle melts, greenstone belts, ultramafic-mafic volcanic center. ","Kambalda-type, raglan- type, Komatiite nickel-copper-PGE","Archean to early Proterozoic continental rift or plume, high degree mantle melts, greenstone belts, ultramafic-mafic volcanic center",Magmatic,Komatiite
24,Laterite,"The Laterite deposit group includes deposits such as Bauxite, Carbonate bauxite, Carbonatite laterite REE, Karst bauxite, Laterite magnesite, Laterite nickel, Lateritic bauxite, Nickel-cobalt laterite: Lateritic nickel. The deposit environment is typically Supergene. Genetically related features of typical Laterite deposits include: Stable area with low relief, tropical climate, Al-bearing rock types above carbonate rocks, unsaturated zone, water table, Stable area with low relief, tropical climate, Al-bearing rock types, unsaturated zone, water table, Stable area with low relief, tropical climate, carbonatites, unsaturated zone, water table, Stable area with low relief, tropical climate, ultramafic rocks, unsaturated zone, water table. ","Bauxite, Carbonate bauxite, Carbonatite laterite REE, Karst bauxite, Laterite magnesite, Laterite nickel, Lateritic bauxite, Nickel-cobalt laterite: Lateritic nickel","Stable area with low relief, tropical climate, Al-bearing rock types above carbonate rocks, unsaturated zone, water table, Stable area with low relief, tropical climate, Al-bearing rock types, unsaturated zone, water table, Stable area with low relief, tropical climate, carbonatites, unsaturated zone, water table, Stable area with low relief, tropical climate, ultramafic rocks, unsaturated zone, water table",Supergene,Laterite
25,Magnesite,"The Magnesite deposit group includes deposits such as Cryptocrystalline magnesite, Nodular magnesite. The deposit environment is typically Infiltrational. Genetically related features of typical Magnesite deposits include: Infiltration of CO2-bearing surface water into fractured ultramafic rocks. ","Cryptocrystalline magnesite, Nodular magnesite",Infiltration of CO2-bearing surface water into fractured ultramafic rocks,Infiltrational,Magnesite
26,Manganese,"The Manganese deposit group includes deposits such as Crust manganese, Ferromanganese crusts, Ferromanganese nodules, Lacustrine manganese, Mamatwan-type; gondite, Nodule manganese, Sedimentary manganese, Shelf sequence manganese, Nikopol-type manganese, Superior-type banded manganese. The deposit environment is typically Basin chemical. Genetically related features of typical Manganese deposits include: Atmospheric oxidation, oceanic oxidation event, seawater, Closed lacustrine drainage basin, redox interface, Marine chemoclines, ocean currents, abyssal plains, seawater, Marine chemoclines, ocean currents, atolls and plateaus, seawater, Oceanic anoxic events, marine chemoclines, ocean currents, wave base, seawater. ","Crust manganese, Ferromanganese crusts, Ferromanganese nodules, Lacustrine manganese, Mamatwan-type; gondite, Nodule manganese, Sedimentary manganese, Shelf sequence manganese, Nikopol-type manganese, Superior-type banded manganese","Atmospheric oxidation, oceanic oxidation event, seawater, Closed lacustrine drainage basin, redox interface, Marine chemoclines, ocean currents, abyssal plains, seawater, Marine chemoclines, ocean currents, atolls and plateaus, seawater, Oceanic anoxic events, marine chemoclines, ocean currents, wave base, seawater",Basin chemical,Manganese
27,Metamorphic,"The Metamorphic deposit group includes deposits such as Flake graphite, amorphous graphite, Metamorphic graphite, Metamorphic kyanite. The deposit environment is typically Metamorphic. Genetically related features of typical Metamorphic deposits include: Regional metamorphic belts. ","Flake graphite, amorphous graphite, Metamorphic graphite, Metamorphic kyanite",Regional metamorphic belts,Metamorphic,Metamorphic
28,Metasomatic iron,"The Metasomatic iron deposit group includes deposits such as Ferroan carbonate polymetallic, ISCG, Iron oxide gold, Iron oxide poly- metallic, Iron oxide uranium, Iron silicate polymetallic, Iron sulfide polymetallic. The deposit environment is typically Regional metasomatic. Genetically related features of typical Metasomatic iron deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ","Ferroan carbonate polymetallic, ISCG, Iron oxide gold, Iron oxide poly- metallic, Iron oxide uranium, Iron silicate polymetallic, Iron sulfide polymetallic","Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Metasomatic iron
29,Mississippi Valley- type (MVT),"The Mississippi Valley- type (MVT) deposit group includes deposits such as MVT barite, MVT fluorspar, MVT strontium, MVT zinc-lead, Sandstone-hosted zinc-lead. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Mississippi Valley- type (MVT) deposits include: Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism. ","MVT barite, MVT fluorspar, MVT strontium, MVT zinc-lead, Sandstone-hosted zinc-lead","Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism",Basin hydrothermal,Mississippi Valley- type (MVT)
30,Non-sulfide,"The Non-sulfide deposit group includes deposits such as Non-sulfide zinc-lead ± Mn, Oxide zinc. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Non-sulfide deposits include: More oxidized and (or) metamorphosed equivalents of features noted in the previous row. ","Non-sulfide zinc-lead ± Mn, Oxide zinc",More oxidized and (or) metamorphosed equivalents of features noted in the previous row,Basin hydrothermal,Non-sulfide
31,Ophiolite,"The Ophiolite deposit group includes deposits such as Ophiolite chro- mium, Ophiolite nickel-
 copper-PGE, Picrite-tholeiite Ni-Cu- PGE, Podiform chromite. The deposit environment is typically Magmatic. Genetically related features of typical Ophiolite deposits include: Obducted oceanic or back arc crus., Obducted oceanic or back arc crust. ","Ophiolite chro- mium, Ophiolite nickel-
 copper-PGE, Picrite-tholeiite Ni-Cu- PGE, Podiform chromite","Obducted oceanic or back arc crus., Obducted oceanic or back arc crust",Magmatic,Ophiolite
32,Orogenic,"The Orogenic deposit group includes deposits such as Epizonal orogenic antimony ± gold, Epizonal orogenic gold, Epizonal orogenic mercury, Hypozonal orogenic gold, Mesothermal gold; low- sulfide gold-quartz- vein, shear zone gold, Mesozonal orogenic gold, Orogenic copper ± gold, Orogenic graphite, Orogenic silver-lead- zinc-copper- antimony, Refractory orogenic gold, Carlin-style gold, vein, lump graphite. The deposit environment is typically Metamorphic hy- drothermal, Metamorphic hydrothermal. Genetically related features of typical Orogenic deposits include: Contractional orogen, metamor- phic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S metasomatism, Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, carbon metasomatism, Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism, Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S metasomatism, Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S, alkali metasomatism, Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S, ± alkali metasomatism. ","Epizonal orogenic antimony ± gold, Epizonal orogenic gold, Epizonal orogenic mercury, Hypozonal orogenic gold, Mesothermal gold; low- sulfide gold-quartz- vein, shear zone gold, Mesozonal orogenic gold, Orogenic copper ± gold, Orogenic graphite, Orogenic silver-lead- zinc-copper- antimony, Refractory orogenic gold, Carlin-style gold, vein, lump graphite","Contractional orogen, metamor- phic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S metasomatism, Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, carbon metasomatism, Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism, Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S metasomatism, Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S, alkali metasomatism, Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S, ± alkali metasomatism","Metamorphic hy- drothermal, Metamorphic hydrothermal",Orogenic
33,Paleochannel,"The Paleochannel deposit group includes deposits such as Ferricretes, manganocretes, Paleochannel iron. The deposit environment is typically Infiltrational. Genetically related features of typical Paleochannel deposits include: Infiltration of surface water, fluvial paleochannels, preexisting Fe, Mn mineralization, redox interface. ","Ferricretes, manganocretes, Paleochannel iron","Infiltration of surface water, fluvial paleochannels, preexisting Fe, Mn mineralization, redox interface",Infiltrational,Paleochannel
34,Pegmatite,"The Pegmatite deposit group includes deposits such as Abyssal pegmatite REE, LCT pegmatite, NYF pegmatite, Simple pegmatite. The deposit environment is typically Magmatic. Genetically related features of typical Pegmatite deposits include: Anatexis associated with high grade metamorphism, Anatexis or any felsic pluton, Continental back arc or hinterland, S-type plutonic center, Continental rift, hydrous bimodal magmatism, A-type plutonic center. ","Abyssal pegmatite REE, LCT pegmatite, NYF pegmatite, Simple pegmatite","Anatexis associated with high grade metamorphism, Anatexis or any felsic pluton, Continental back arc or hinterland, S-type plutonic center, Continental rift, hydrous bimodal magmatism, A-type plutonic center",Magmatic,Pegmatite
35,Peralkaline igneous,"The Peralkaline igneous deposit group includes deposits such as Peralkaline igneous HFSE- REE. The deposit environment is typically Magmatic. Genetically related features of typical Peralkaline igneous deposits include: SCLM partial melt, alkalic- peralkaline magmatic center and related pegmatites. ",Peralkaline igneous HFSE- REE,"SCLM partial melt, alkalic- peralkaline magmatic center and related pegmatites",Magmatic,Peralkaline igneous
36,Phosphorite,"The Phosphorite deposit group includes deposits such as Phosphate, Phosphorite. The deposit environment is typically Basin chemical. Genetically related features of typical Phosphorite deposits include: Marine chemoclines, ocean currents bioproductivity, wave base, seawater. ","Phosphate, Phosphorite","Marine chemoclines, ocean currents bioproductivity, wave base, seawater",Basin chemical,Phosphorite
37,Placer,"The Placer deposit group includes deposits such as Alluvial PGE, Alluvial REE, Alluvial diamond, Alluvial garnet, Alluvial gemstones, Alluvial gold, Alluvial niobium- tantalum, Alluvial tin, Alluvial tungsten, Beach placer gold, Fluvial placer PGE, Fluvial placer REE, Fluvial placer diamond, Fluvial placer garnet, Fluvial placer gemstones, Fluvial placer gold, Fluvial placer niobium- tantalum, Fluvial placer tin, Fluvial placer tungsten, Heavy mineral sands, Lag lead, Lag tin, Lithified mineral sands; indurated mineral sands, Mineral sands, Paleoplacer gold ± uranium, Paleoplacer heavy mineral sands, Paleoplacer tin, Quartz pebble conglomerate Au-U, Residual placer lead, Residual placer tin, Shoreline placer gold. The deposit environment is typically Erosional. Genetically related features of typical Placer deposits include: Chemical weathering, erosion of soft material, and concentration of resistate minerals in situ, preexisting mineralization, Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, pre- existing mineralization, Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, preexisting mineralization, Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types, Exhumation, topographic relief, drainage network, kimberlite pipe, Exhumation, topographic relief, drainage network, preexisting mineralization, Exhumation, topographic relief, drainage network, specific rock type, Exhumation, topographic relief, drainage network, specific rock types. ","Alluvial PGE, Alluvial REE, Alluvial diamond, Alluvial garnet, Alluvial gemstones, Alluvial gold, Alluvial niobium- tantalum, Alluvial tin, Alluvial tungsten, Beach placer gold, Fluvial placer PGE, Fluvial placer REE, Fluvial placer diamond, Fluvial placer garnet, Fluvial placer gemstones, Fluvial placer gold, Fluvial placer niobium- tantalum, Fluvial placer tin, Fluvial placer tungsten, Heavy mineral sands, Lag lead, Lag tin, Lithified mineral sands; indurated mineral sands, Mineral sands, Paleoplacer gold ± uranium, Paleoplacer heavy mineral sands, Paleoplacer tin, Quartz pebble conglomerate Au-U, Residual placer lead, Residual placer tin, Shoreline placer gold","Chemical weathering, erosion of soft material, and concentration of resistate minerals in situ, preexisting mineralization, Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, pre- existing mineralization, Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, preexisting mineralization, Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types, Exhumation, topographic relief, drainage network, kimberlite pipe, Exhumation, topographic relief, drainage network, preexisting mineralization, Exhumation, topographic relief, drainage network, specific rock type, Exhumation, topographic relief, drainage network, specific rock types",Erosional,Placer
