,Deposit type,Description,Synonym,Deposit environment,Deposit group,Genetically related features ,label
21,Residual clay,"Residual clay deposits are also known as Secondary clay. They belong to the general deposit group of Clay deposits. The deposit environment is typically Supergene. Genetically related features of typical Residual clay deposits include: Variable climate, unsaturated zone, Al-bearing rock types, water table. ",Secondary clay,Supergene,Clay,"Variable climate, unsaturated zone, Al-bearing rock types, water table",Residual clay
22,"Underclay, over- clay","Underclay, over- clay deposits are also known as Gob. They belong to the general deposit group of Clay deposits. The deposit environment is typically Supergene. Genetically related features of typical Underclay, over- clay deposits include: Variable climate, unsaturated zone, Al- or REE-bearing shales adjacent to coal seams, water table. ",Gob,Supergene,Clay,"Variable climate, unsaturated zone, Al- or REE-bearing shales adjacent to coal seams, water table","Underclay, over- clay"
23,Ion adsorption REE,"Ion adsorption REE deposits belong to the general deposit group of Clay deposits. The deposit environment is typically Supergene. Genetically related features of typical Ion adsorption REE deposits include: Variable climate, unsaturated zone, Al- or REE-bearing granitic, peralkaline, or carbonatite rocks, water table. ",,Supergene,Clay,"Variable climate, unsaturated zone, Al- or REE-bearing granitic, peralkaline, or carbonatite rocks, water table",Ion adsorption REE
24,Supergene silver,"Supergene silver deposits belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene silver deposits include: Variable climate, unsaturated zone, preexisting Ag-rich mineralization, water table. ",,Supergene,Supergene,"Variable climate, unsaturated zone, preexisting Ag-rich mineralization, water table",Supergene silver
25,Supergene lead,"Supergene lead deposits belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene lead deposits include: Variable climate, unsaturated zone, preexisting Pb-rich mineralization, water table. ",,Supergene,Supergene,"Variable climate, unsaturated zone, preexisting Pb-rich mineralization, water table",Supergene lead
26,Supergene uranium,"Supergene uranium deposits belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene uranium deposits include: Variable climate, unsaturated zone, preexisting U-rich mineralization, water table. ",,Supergene,Supergene,"Variable climate, unsaturated zone, preexisting U-rich mineralization, water table",Supergene uranium
27,Supergene vanadium,"Supergene vanadium deposits belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene vanadium deposits include: Variable climate, unsaturated zone, preexisting V-rich mineralization, water table. ",,Supergene,Supergene,"Variable climate, unsaturated zone, preexisting V-rich mineralization, water table",Supergene vanadium
28,Supergene gold,"Supergene gold deposits are also known as Regolith gold. They belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene gold deposits include: Variable climate, unsaturated zone, preexisting Au-rich mineralization, water table. ",Regolith gold,Supergene,Supergene,"Variable climate, unsaturated zone, preexisting Au-rich mineralization, water table",Supergene gold
29,Supergene zinc,"Supergene zinc deposits are also known as Non-sulfide Zn, oxi- dized Zn (Pb). They belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene zinc deposits include: Variable climate, unsaturated zone, preexisting Zn-rich mineralization, water table. ","Non-sulfide Zn, oxi- dized Zn (Pb)",Supergene,Supergene,"Variable climate, unsaturated zone, preexisting Zn-rich mineralization, water table",Supergene zinc
30,Supergene copper,"Supergene copper deposits belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene copper deposits include: Variable climate, unsaturated zone, preexisting Cu-rich mineralization, water table. ",,Supergene,Supergene,"Variable climate, unsaturated zone, preexisting Cu-rich mineralization, water table",Supergene copper
31,Supergene manganese,"Supergene manganese deposits belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene manganese deposits include: Variable climate, unsaturated zone, preexisting Mn-rich mineralization, water table. ",,Supergene,Supergene,"Variable climate, unsaturated zone, preexisting Mn-rich mineralization, water table",Supergene manganese
32,Supergene iron,"Supergene iron deposits belong to the general deposit group of Supergene deposits. The deposit environment is typically Supergene. Genetically related features of typical Supergene iron deposits include: Variable climate, unsaturated zone, preexisting Fe-rich mineralization, water table. ",,Supergene,Supergene,"Variable climate, unsaturated zone, preexisting Fe-rich mineralization, water table",Supergene iron
33,Exotic copper,"Exotic copper deposits are also known as Paleochannel copper. They belong to the general deposit group of Exotic deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Exotic copper deposits include: Infiltration of surface water, aquifers, preexisting Cu mineralization, redox interface. ",Paleochannel copper,Infiltrational,Exotic,"Infiltration of surface water, aquifers, preexisting Cu mineralization, redox interface",Exotic copper
34,Paleochannel iron,"Paleochannel iron deposits are also known as Ferricretes, manganocretes. They belong to the general deposit group of Paleochannel deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Paleochannel iron deposits include: Infiltration of surface water, fluvial paleochannels, preexisting Fe, Mn mineralization, redox interface. ","Ferricretes, manganocretes",Infiltrational,Paleochannel,"Infiltration of surface water, fluvial paleochannels, preexisting Fe, Mn mineralization, redox interface",Paleochannel iron
35,Sandstone uranium,"Sandstone uranium deposits are also known as Roll front, and others. They belong to the general deposit group of Uranium deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Sandstone uranium deposits include: Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface. ","Roll front, and others",Infiltrational,Uranium,"Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface",Sandstone uranium
36,Carbonate uranium,"Carbonate uranium deposits belong to the general deposit group of Uranium deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Carbonate uranium deposits include: Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface. ",,Infiltrational,Uranium,"Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface",Carbonate uranium
37,Coal/peat/bog uranium,"Coal/peat/bog uranium deposits belong to the general deposit group of Uranium deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Coal/peat/bog uranium deposits include: Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface. ",,Infiltrational,Uranium,"Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, redox interface",Coal/peat/bog uranium
38,Calcrete uranium,"Calcrete uranium deposits are also known as Surficial uranium, evaporite uranium. They belong to the general deposit group of Uranium deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Calcrete uranium deposits include: Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, lacustrine evaporite. ","Surficial uranium, evaporite uranium",Infiltrational,Uranium,"Infiltration of surface water, aquifers, preexisting volcanic ash-bearing sedimentary rocks, lacustrine evaporite",Calcrete uranium
39,Nodular magnesite,Nodular magnesite deposits are also known as Cryptocrystalline magnesite. They belong to the general deposit group of Magnesite deposits. The deposit environment is typically Infiltrational. Genetically related features of typical Nodular magnesite deposits include: Infiltration of CO2-bearing surface water into fractured ultramafic rocks. ,Cryptocrystalline magnesite,Infiltrational,Magnesite,Infiltration of CO2-bearing surface water into fractured ultramafic rocks,Nodular magnesite
40,Marine evaporite gypsum,"Marine evaporite gypsum deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine evaporite gypsum deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. ",,Basin evaporative,Evaporite,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites",Marine evaporite gypsum
41,Marine evaporite salt,"Marine evaporite salt deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine evaporite salt deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. ",,Basin evaporative,Evaporite,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites",Marine evaporite salt
42,Marine evaporite potash,"Marine evaporite potash deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine evaporite potash deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. ",,Basin evaporative,Evaporite,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites",Marine evaporite potash
43,Marine evaporite magnesite,"Marine evaporite magnesite deposits are also known as Sedimentary magnesite. They belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine evaporite magnesite deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. ",Sedimentary magnesite,Basin evaporative,Evaporite,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites",Marine evaporite magnesite
44,Lacustrine evaporite trona,"Lacustrine evaporite trona deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite trona deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",,Basin evaporative,Evaporite,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine evaporite trona
45,Lacustrine evaporite salt,"Lacustrine evaporite salt deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite salt deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",,Basin evaporative,Evaporite,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine evaporite salt
46,Lacustrine evaporite potash,"Lacustrine evaporite potash deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite potash deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",,Basin evaporative,Evaporite,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine evaporite potash
47,Lacustrine evaporite carnallite- bischofite,"Lacustrine evaporite carnallite- bischofite deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite carnallite- bischofite deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",,Basin evaporative,Evaporite,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine evaporite carnallite- bischofite
48,Lacustrine evaporite borate,"Lacustrine evaporite borate deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite borate deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",,Basin evaporative,Evaporite,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine evaporite borate
49,Lacustrine evaporite magnesite,"Lacustrine evaporite magnesite deposits are also known as Sedimentary magnesite. They belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite magnesite deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",Sedimentary magnesite,Basin evaporative,Evaporite,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine evaporite magnesite
50,Lacustrine evaporite nitrate,"Lacustrine evaporite nitrate deposits belong to the general deposit group of Evaporite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine evaporite nitrate deposits include: Closed lacustrine drainage basin, arid climate, sea spray, salt flats. ",,Basin evaporative,Evaporite,"Closed lacustrine drainage basin, arid climate, sea spray, salt flats",Lacustrine evaporite nitrate
51,"Marine brine potash (±Mg, Li, and so on)","Marine brine potash (±Mg, Li, and so on) deposits belong to the general deposit group of Brine deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Marine brine potash (±Mg, Li, and so on) deposits include: Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. ",,Basin evaporative,Brine,"Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites","Marine brine potash (±Mg, Li, and so on)"
52,Lacustrine brine potash,"Lacustrine brine potash deposits belong to the general deposit group of Brine deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine brine potash deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",,Basin evaporative,Brine,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine brine potash
53,Lacustrine brine lithium,"Lacustrine brine lithium deposits belong to the general deposit group of Brine deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine brine lithium deposits include: Closed lacustrine drainage basin, arid climate, salt flats. ",,Basin evaporative,Brine,"Closed lacustrine drainage basin, arid climate, salt flats",Lacustrine brine lithium
54,"Lacustrine zeolite (± Li, B)","Lacustrine zeolite (± Li, B) deposits belong to the general deposit group of Zeolite deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine zeolite (± Li, B) deposits include: Closed lacustrine drainage basin, arid climate, salt flats, volcanic rocks. ",,Basin evaporative,Zeolite,"Closed lacustrine drainage basin, arid climate, salt flats, volcanic rocks","Lacustrine zeolite (± Li, B)"
55,Lacustrine clay lithium,"Lacustrine clay lithium deposits belong to the general deposit group of Clay deposits. The deposit environment is typically Basin evaporative. Genetically related features of typical Lacustrine clay lithium deposits include: Closed lacustrine drainage basin, arid climate, salt flats, ash and clay layers. ",,Basin evaporative,Clay,"Closed lacustrine drainage basin, arid climate, salt flats, ash and clay layers",Lacustrine clay lithium
56,Black shale va- nadium ± Mo ± Ni,"Black shale va- nadium ± Mo ± Ni deposits are also known as Metalliferous black shale, stone coal, carbonaceous marl. They belong to the general deposit group of Black shale deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Black shale va- nadium ± Mo ± Ni deposits include: Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater. ","Metalliferous black shale, stone coal, carbonaceous marl",Basin chemical,Black shale,"Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater",Black shale va- nadium ± Mo ± Ni
57,Black shale nickel ± Mo- PGE,"Black shale nickel ± Mo- PGE deposits are also known as Metalliferous black shale. They belong to the general deposit group of Black shale deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Black shale nickel ± Mo- PGE deposits include: Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater. ",Metalliferous black shale,Basin chemical,Black shale,"Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater",Black shale nickel ± Mo- PGE
58,Black shale gold,"Black shale gold deposits belong to the general deposit group of Black shale deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Black shale gold deposits include: Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater. ",,Basin chemical,Black shale,"Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater",Black shale gold
59,Black shale uranium,"Black shale uranium deposits belong to the general deposit group of Black shale deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Black shale uranium deposits include: Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater. ",,Basin chemical,Black shale,"Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater",Black shale uranium
60,Phosphorite,"Phosphorite deposits are also known as Phosphate. They belong to the general deposit group of Phosphorite deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Phosphorite deposits include: Marine chemoclines, ocean currents bioproductivity, wave base, seawater. ",Phosphate,Basin chemical,Phosphorite,"Marine chemoclines, ocean currents bioproductivity, wave base, seawater",Phosphorite
61,Superior-type banded iron formation,"Superior-type banded iron formation deposits are also known as Lake Superior. They belong to the general deposit group of Iron formation deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Superior-type banded iron formation deposits include: Atmospheric oxidation, oceanic oxidation event, seawater. ",Lake Superior,Basin chemical,Iron formation,"Atmospheric oxidation, oceanic oxidation event, seawater",Superior-type banded iron formation
62,Oolitic iron formation,"Oolitic iron formation deposits are also known as Ironstone, Clinton-type, Minette-type. They belong to the general deposit group of Iron formation deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Oolitic iron formation deposits include: Oceanic anoxic events, marine chemoclines, ocean currents, wave base, seawater. ","Ironstone, Clinton-type, Minette-type",Basin chemical,Iron formation,"Oceanic anoxic events, marine chemoclines, ocean currents, wave base, seawater",Oolitic iron formation
63,Lacustrine iron formation,"Lacustrine iron formation deposits belong to the general deposit group of Iron formation deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Lacustrine iron formation deposits include: Regional-scale and intense Fe-Na-(Ca±K) metasomatism and magnetic/gravity anomalies, caldera lakes. ",,Basin chemical,Iron formation,"Regional-scale and intense Fe-Na-(Ca±K) metasomatism and magnetic/gravity anomalies, caldera lakes",Lacustrine iron formation
64,Superior-type banded manganese,"Superior-type banded manganese deposits are also known as Mamatwan-type; gondite. They belong to the general deposit group of Manganese deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Superior-type banded manganese deposits include: Atmospheric oxidation, oceanic oxidation event, seawater. ",Mamatwan-type; gondite,Basin chemical,Manganese,"Atmospheric oxidation, oceanic oxidation event, seawater",Superior-type banded manganese
65,Sedimentary manganese,"Sedimentary manganese deposits are also known as Shelf sequence manganese, Nikopol-type manganese. They belong to the general deposit group of Manganese deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Sedimentary manganese deposits include: Oceanic anoxic events, marine chemoclines, ocean currents, wave base, seawater. ","Shelf sequence manganese, Nikopol-type manganese",Basin chemical,Manganese,"Oceanic anoxic events, marine chemoclines, ocean currents, wave base, seawater",Sedimentary manganese
66,Crust manganese,"Crust manganese deposits are also known as Ferromanganese crusts. They belong to the general deposit group of Manganese deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Crust manganese deposits include: Marine chemoclines, ocean currents, atolls and plateaus, seawater. ",Ferromanganese crusts,Basin chemical,Manganese,"Marine chemoclines, ocean currents, atolls and plateaus, seawater",Crust manganese
67,Nodule manganese,"Nodule manganese deposits are also known as Ferromanganese nodules. They belong to the general deposit group of Manganese deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Nodule manganese deposits include: Marine chemoclines, ocean currents, abyssal plains, seawater. ",Ferromanganese nodules,Basin chemical,Manganese,"Marine chemoclines, ocean currents, abyssal plains, seawater",Nodule manganese
68,Lacustrine manganese,"Lacustrine manganese deposits belong to the general deposit group of Manganese deposits. The deposit environment is typically Basin chemical. Genetically related features of typical Lacustrine manganese deposits include: Closed lacustrine drainage basin, redox interface. ",,Basin chemical,Manganese,"Closed lacustrine drainage basin, redox interface",Lacustrine manganese
69,Unconformity- related ura- nium,"Unconformity- related ura- nium deposits belong to the general deposit group of Unconformity- related deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Unconformity- related ura- nium deposits include: Unconformity, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism. ",,Basin hydrothermal,Unconformity- related,"Unconformity, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism",Unconformity- related ura- nium
70,Unconformity- related REE,"Unconformity- related REE deposits belong to the general deposit group of Unconformity- related deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Unconformity- related REE deposits include: Unconformity, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism. ",,Basin hydrothermal,Unconformity- related,"Unconformity, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism",Unconformity- related REE
71,Collapse breccia pipe uranium,"Collapse breccia pipe uranium deposits belong to the general deposit group of Collapse breccia pipe deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Collapse breccia pipe uranium deposits include: Collapse breccia, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism. ",,Basin hydrothermal,Collapse breccia pipe,"Collapse breccia, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism",Collapse breccia pipe uranium
