,Deposit type,Description,Deposit environment,Deposit group
10,Fluvial placer garnet,"Fluvial placer garnet deposits are also known as Alluvial garnet. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer garnet deposits include: Exhumation, topographic relief, drainage network, specific rock type. Fluvial placer garnet deposits, commonly known as alluvial garnet deposits, are a subtype of placer deposits characterized by the accumulation of garnet minerals in river and stream sediments. These deposits are typically found where erosional processes expose garnet-bearing metamorphic or igneous rocks such as schists, gneisses, or granites. As these rocks are weathered and eroded, garnets are released and transported downstream, accumulating in areas where the river's energy decreases, allowing heavier minerals to settle. Garnets in these deposits are primarily of the almandine-pyrope varieties, valued both as gemstones and industrial abrasives. The geological settings of fluvial placer garnet deposits often involve high topographic relief which facilitates the erosion and transportation processes necessary for placer formation. Unlike other mineral deposits, which might be defined by in situ mineralization processes, fluvial placer deposits are mechanically concentrated by natural hydraulics without chemical alteration processes influencing the deposition. Key geological features influencing these deposits include rock type, ancient fluvial systems, and regional tectonic setting that controls the original garnet rock source and subsequent erosional-exhumational histories. These deposits do not generally present high tonnage but can yield high grades of garnet concentrates in localized zones, distinguished by their relatively simple exploration and extraction techniques. Their occurrence is broadly tied to regions with a history of orogenic activity, which is responsible for the formation of the source rocks and the dynamic tectonic processes that lead to significant erosional patterns essential for placer formation.Fluvial placer garnet type mineral deposits are also known as USGS deposit model number 39g. Fluvial placer garnet type mineral deposits are also known as Placer garnet. ",Erosional,Placer
11,Heavy mineral sands,"Heavy mineral sands deposits are also known as Mineral sands. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Heavy mineral sands deposits include: Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types. Heavy mineral sands deposits, a significant type of Placer deposits, are predominantly found in coastal environments where ancient beach and river systems have concentrated dense minerals like ilmenite, rutile, zircon, monazite, and sometimes gold through hydraulic and gravitational sorting processes. Typically forming in regions with an abundance of erosion-resistant source rocks, such as igneous or metamorphic rocks rich in heavy minerals, these deposits are unique in their composition and modes of accumulation. The ore bodies are usually stratiform, laying parallel to the ancient shorelines or river channels, and are essentially free from any metamorphic or hydrothermal alteration, reflecting their mechanical origin and accumulation instead. The age of mineralization is relatively young, often Quaternary, due to the recent nature of depositional processes. A key factor in their formation involves the initial erosion that liberates mineral grains followed by coastline or fluvial transportation and subsequent deposition in traps created by sea-level changes, tides, or other littoral processes. Typically devoid of any significant tectonic structures, their distribution often aligns with passive continental margins and stable tectonic settings. Heavy mineral sands are distinct in their high grades of economically important minerals like titanium (from ilmenite and rutile) and zirconium (from zircon), offering an essential resource for various industrial applications in a relatively accessible form.Heavy mineral sands type mineral deposits are also known as USGS deposit model number 39c. Heavy mineral sands type mineral deposits are also known as Shoreline placer Ti. ",Erosional,Placer
12,Shoreline placer gold,"Shoreline placer gold deposits are also known as Beach placer gold. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Shoreline placer gold deposits include: Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, pre-existing mineralization. Shoreline placer gold deposits, prominently found along coastal areas where ancient beach environments have preserved the deposits, are distinctively characterized by their unique settings and mechanism of gold concentration. These deposits are formed from the mechanical sorting and accumulation of heavier minerals like gold by wave and tidal actions, which segregate them from lighter, less dense materials. The ore typically comprises fine to very fine particles of gold, often found with other heavy minerals like ilmenite, rutile, zircon, and monazite. These placers can vary widely in grade and tonnage, with some historical operations reporting grades ranging from 0.5 grams to several grams per ton, with variable tonnage dependent on the extent and thickness of the placer deposits. Geologically, these deposits do not require a host rock but develop in quaternary sediments such as sands and gravels. The age of mineralization is generally young, primarily Quaternary, linked closely with the last glacial and interglacial periods which influenced sea levels and shoreline configurations. Key geological features influencing the formation of shoreline placer deposits include pre-existing mineralization sources upstream, paleo-shoreline trajectories, and modern erosional processes. Unlike other placer deposits like alluvial placers, shoreline placers are controlled strictly by marine processes and the configuration of historical shorelines rather than fluvial mechanics. The unique setting in active or passive continental margins with a history of fluctuating sea levels makes the shoreline placers a distinctive system where the ore control is largely governed by ancient tidal ranges and wave energy rather than typical fluvial stream gradients and basin configurations found in non-marine placer settings.",Erosional,Placer
13,Paleoplacer heavy mineral sands,"Paleoplacer heavy mineral sands deposits are also known as Lithified mineral sands; indurated mineral sands. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Paleoplacer heavy mineral sands deposits include: Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types. Paleoplacer heavy mineral sands deposits, which are lithified remnants of ancient placer accumulations, distinguish themselves significantly from other mineral deposit types through their unique geological formations and composition. Typically found in erosional environments, these deposits consist primarily of dense, resistant minerals such as zircon, ilmenite, rutile, and in some cases, monazite and gold, concentrated by wave and wind action on ancient beach fronts and shoreline systems. The process of lithification hardens these former loose sands into rock, preserving the high-grade heavy mineral layers that are key economic targets in mining. The deposits are often hosted in specific rock types, including quartz sands that have been cemented by silica, carbonate, or other minerals during diagenesis. The stratigraphic control reflects the original sedimentary layering, which corresponds with changes in sea level and the progradation of shorelines, tightly linked to glacial and interglacial cycles. These deposits can be ancient, often dating back to the Precambrian or Paleozoic eras, thereby giving a good clue on the age of mineralization. Moreover, the presence of stable cratonic regions and passive margin settings are common tectonic environments for these deposits. Unlike many hydrothermal deposits, Paleoplacer deposits are not associated with significant alteration or mineralized veins but are defined by their sedimentological context and the mechanical concentration of minerals over time. This makes them particularly distinct in terms of exploration and extraction, focusing primarily on the sedimentary history and the present physiography to guide mineral recovery.Paleoplacer heavy mineral sands type mineral deposits are also known as USGS deposit model number 39c. Paleoplacer heavy mineral sands type mineral deposits are also known as Shoreline placer Ti. ",Erosional,Placer
14,Paleoplacer tin,"Paleoplacer tin deposits belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Paleoplacer tin deposits include: Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types. Paleoplacer tin deposits, categorized under the broader group of Placer deposits, are distinctive due to their specific geological settings and genesis processes. Characteristically found in environments where ancient erosional and depositional mechanisms have acted, these deposits are fundamentally linked to the exhumation of source areas and subsequent sedimentary reworking in regions with notable topographic relief and robust drainage networks. The ore primarily comprises mechanically concentrated tin minerals, such as cassiterite, enriched in ancient river channels, deltas, shorelines, and barrier islands. The rock types associated with these deposits frequently include quartz-rich sandstones and conglomerates that capture and preserve the dense, resistant cassiterite grains during sedimentary processes. Paleoplacer tin deposits are typically older, often dating back to Proterozoic to Paleozoic eras, which distinguishes them temporally from other placer deposits formed in more recent geological times. These deposits showcase lower average ore grades but can have substantial tonnage due to the extensive nature of sedimentary systems. Ore control is predominantly governed by paleogeography and the original depositional environment, which orchestrated the placer's concentration and preservation dynamics. Unlike hydrothermal tin deposits, paleoplacers lack significant alteration halos, with the primary geological processes involving physical weathering and sorting rather than chemical changes. This specific combination of old age, sedimentary environment, and ore concentration by physical processes sets Paleoplacer tin deposits apart from other mineral deposit types.Paleoplacer tin type mineral deposits are also known as USGS deposit model number 39e. Paleoplacer tin type mineral deposits are also known as Alluvial placer Sn. ",Erosional,Placer
15,Paleoplacer gold ± uranium,"Paleoplacer gold ± uranium deposits are also known as Quartz pebble conglomerate Au-U. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Paleoplacer gold ± uranium deposits include: Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, preexisting mineralization. Paleoplacer gold ± uranium deposits, also known as Quartz pebble conglomerate Au-U deposits, represent a distinct type of mineral deposit characterized by their occurrence in ancient fluvial sedimentary environments, typically from the Precambrian era. These deposits consist primarily of mature quartz pebble conglomerates and quartzites that have been cemented by silica, with gold and uranium occurring as disseminations within the matrix or on grain boundaries. The unique geological setting includes ancient river channels and deltaic systems where heavy minerals were concentrated by gravity separation during sediment transport and deposition. Typically, these deposits show minimal to no metamorphism, preserving the original sedimentary structures, which is critical for the placement and preservation of the mineralization. The gold found in these deposits is often very fine-grained and occurs alongside other heavy minerals such as uraninite or thorianite, which provide the uranium content. Importantly, these deposits are often large and low-grade, but their extensive size can make them economically viable. The ore control and distribution within these deposits are primarily influenced by the paleogeography and sedimentary processes, with mineralization typically stratabound and syn-sedimentary. This type of deposit is distinct from other placer or hydrothermal deposits due to its ancient age, sedimentary origin, and the association of gold with uranium, offering unique exploration and extraction challenges.Paleoplacer gold ± uranium type mineral deposits are also known as USGS deposit model number 29a. Paleoplacer gold ± uranium type mineral deposits are also known as Quartz pebble conglomerate Au-U (BC name is Paleoplacer U-Au-PGE-Sn-Ti. ",Erosional,Placer
16,Bauxite,"Bauxite deposits are also known as Lateritic bauxite. They belong to the general deposit group of Laterite deposits. The deposit environment is typically Supergene. Genetically related features of typical Bauxite deposits include: Stable area with low relief, tropical climate, Al-bearing rock types, unsaturated zone, water table. Bauxite deposits, distinctively recognized as the primary source of aluminum, revolve around the geological context of lateritization processes under tropical to subtropical climate conditions. These deposits mainly derive from the intensive weathering of aluminum-rich parent rocks such as basalt, granite, or various types of sedimentary clays, facilitating the accumulation of hydrated aluminum oxides - predominantly gibbsite, boehmite, and diaspore. A critical element distinguishing bauxite from other ore deposits is its formation in stable tectonic environments with low topographic relief, where prolonged exposure to chemical weathering can occur undisturbed. Typically, bauxite deposits do not form deeply buried ore bodies but instead are stratiform or pisolitic near the surface, influencing easier mining operations. The grade of bauxite is chiefly determined by the concentration of Al2O3, usually averaging about 30-60% in most economic deposits, with other commodities like Fe, Ti, and Si present as impurities that can affect the refinement process. Structurally, these deposits lack significant deformation and are generally found at or near the surface, often capped by lateritic iron crusts which serve as a protective layer preventing further erosion of the underlying bauxite. Bauxite deposits seldom encompass the complexities of metamorphic or hydrothermal processes, placing them geologically as one of the most straightforward, yet economically crucial, mineral deposits, specifically tailored for large-scale aluminum production.Bauxite type mineral deposits are also known as USGS deposit model number 38b. Bauxite type mineral deposits are also known as Bauxite, laterite type. ",Supergene,Laterite
17,Karst bauxite,"Karst bauxite deposits are also known as Carbonate bauxite. They belong to the general deposit group of Laterite deposits. The deposit environment is typically Supergene. Genetically related features of typical Karst bauxite deposits include: Stable area with low relief, tropical climate, Al-bearing rock types above carbonate rocks, unsaturated zone, water table. Karst bauxite deposits, predominantly found in stable regions with carbonate rock foundations, are a specific type of laterite deposit where the formation environment is characterized by intense weathering under tropical climates. These deposits form as aluminum-bearing rocks undergo supergene alteration processes atop limestone or dolomite, gaining significances through the dissolution of carbonate rocks and residual enrichment of aluminum oxides. Ore bodies typically present in pisolitic or oolitic forms, with commodities chiefly consisting of aluminum in the form of minerals like gibbsite, boehmite, and diaspora. These deposits are significant for their high grades of bauxite, often yielding large tonnages of ore suitable for aluminum production. Unique to karst bauxite deposits is their physiography, usually forming in areas of low relief near the water table, which influences the leaching and accumulation of ores. The age of mineralization typically aligns with the stability and exposure duration of the host rocks, varying widely from Tertiary to recent times. Structurally, these deposits lack significant deformation, residing in tectonically stable settings absent of pronounced faulting or folding, which distinguishes them from bauxite deposits associated with high-energy tectonic environments like those formed in sedimentary basins or volcanic arcs. The peculiarities of their development in karstified landscapes, enabling focused lateral and vertical ore enrichment, mark their distinction among the broader category of bauxite mineral deposits.Karst bauxite type mineral deposits are also known as USGS deposit model number 38c. Karst bauxite type mineral deposits are also known as Bauxite, karst type. ",Supergene,Laterite
18,Laterite nickel,"Laterite nickel deposits are also known as Nickel-cobalt laterite: Lateritic nickel. They belong to the general deposit group of Laterite deposits. The deposit environment is typically Supergene. Genetically related features of typical Laterite nickel deposits include: Stable area with low relief, tropical climate, ultramafic rocks, unsaturated zone, water table. Laterite nickel deposits, forming under specific climatic and geological settings, are critical sources of nickel and cobalt. These deposits typically develop in regions with a tropical climate where prolonged weathering of ultramafic rocks occurs under conditions of high rainfall and temperature. This weathering process leads to the intense leaching of silicate minerals, resulting in the accumulation of iron oxides, nickel, and cobalt in the soil profile. The rock types involved are primarily serpentinites, dunites, or peridotites that originate from the Earth's mantle. Ore types in these deposits are predominantly limonitic (rich in iron oxides) and saprolitic (clay-rich), with the saprolite being the primary target for nickel mining due to its higher nickel content. Typically, the nickel grades range from 0.8 to 2.5%, with certain deposits also containing appreciable amounts of cobalt. Deposits form in stable tectonic settings on cratonic blocks or on passive continental margins, where minimal tectonic disturbances allow for the prolonged weathering necessary to form these ores. The age of mineralization is predominantly linked to the weathering processes during the Tertiary or later. Physiographically, these deposits coincide with low-relief landscapes which facilitate the accumulation and preservation of lateritic profiles. The distinct high iron content, alongside the specific environmental and geological conditions needed for their formation, sets laterite nickel deposits apart from other types of mineral deposits.Laterite nickel type mineral deposits are also known as USGS deposit model number 38a. Laterite nickel type mineral deposits are also known as Lateritic Ni. ",Supergene,Laterite
19,Carbonatite laterite REE,"Carbonatite laterite REE deposits belong to the general deposit group of Laterite deposits. The deposit environment is typically Supergene. Genetically related features of typical Carbonatite laterite REE deposits include: Stable area with low relief, tropical climate, carbonatites, unsaturated zone, water table. Carbonatite laterite REE deposits represent a unique subclass of laterite deposits characterized by the weathering of carbonatite rocks, which are uncommon igneous rocks composed predominantly of carbonate minerals. These deposits are formed in a distinct supragene environment where extensive chemical weathering occurs under tropical climates with high rainfall and temperature. The process liberates rare earth elements (REEs) from carbonatite, accumulating them along with residual clays and iron oxides in the laterite profile. The carbonatites involved are usually Proterozoic to Cenozoic in age, forming in stable tectonic settings with low relief. This geological setup ensures minimal topographical changes, allowing prolonged weathering and ore concentration. The ore bodies in carbonatite laterite REE deposits typically exhibit variably enriched grades of light and heavy REEs, with the concentration largely depending on the original composition of the carbonatite and the efficiency of the lateritization process. The localized ore control in these deposits is primarily governed by the original morphology and composition of the carbonatite bodies, with enriched zones often correlating with structural features such as faults or fractures that facilitate fluid access and encourage alteration. This type of deposit is distinct from other REE and laterite deposits, which may derive from different parent rocks under varying climatic and tectonic conditions, emphasizing the unique combination of carbonatites and tropical weathering in generating economically important REE resources.Carbonatite laterite REE type mineral deposits are also known as USGS deposit model number 10. Carbonatite laterite REE type mineral deposits are also known as Carbonatite. ",Supergene,Laterite
